A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TimbTan_0852	TimbTan_0853	3993857	301917	57079	295546	525337	252987	57198	246353	8205797	0.226424609722983	0.175514099819725	0.0663994177411984
TimbTan_0852	TimbTan_0854	3733464	286744	53064	297353	497260	257472	52218	227289	7685826	0.225756025370138	0.176986159307567	0.0678605176656081
TimbTan_0852	TimbAby_0973	3797001	411633	165134	461938	441603	244045	159137	236106	8254697	0.389784577747753	0.296429445359713	0.0862259649683367
TimbTan_0852	TimbAby_0974	3887783	418649	164695	456793	447132	178601	162160	245788	8489058	0.390700024534787	0.29466809527162	0.0830644816959559
TimbTan_0852	TimbAby_0976	3755294	408624	162622	474250	441361	306289	154234	232029	8117934	0.384703680632198	0.295248084840126	0.0888183833397248
TimbTan_0852	TimbSom_0977	3639288	451857	123956	545473	340949	245964	91881	268286	8025698	0.359812299227929	0.293007781665979	0.0831626175459567
TimbTan_0852	TimbSom_0978	3588753	360018	125134	579138	485708	327795	90962	207505	7896438	0.318420279701962	0.25074148615821	0.0875586348770713
TimbTan_0852	TimbSom_0980	3896685	380292	129001	526028	509595	212307	96773	228695	8508007	0.316569812985397	0.242482602235921	0.0796715666314613
TimbTan_0852	TimbSom_0981	3469152	346651	119774	494320	466352	213877	89985	203880	7650439	0.318774583084258	0.244921842764867	0.0821406219957516
TimbTan_0852	TimbSom_0982	3680913	365566	126356	514089	483291	219609	94267	215677	8079533	0.320817023729042	0.246595058420078	0.0812623949502228
TimbTan_0852	TimbUga_0983	3696402	395274	158053	335557	403981	152129	178191	246467	7978422	0.414481613518195	0.309180175419454	0.0814315740232402
TimbTan_0852	TimbUga_0984	3866836	402157	153316	386820	442526	153560	161246	249733	8358868	0.388281682509394	0.289570549209877	0.0798557353752668
TimbTan_0852	TimbUga_0985	3917213	409101	156416	391716	437762	164785	165512	255433	8455356	0.393001898245198	0.294346262100998	0.0802133990984926
TimbTan_0852	TimbUga_0986	3635227	400273	168169	280831	379526	122382	206796	252444	7830516	0.446327559524953	0.33165379765259	0.0823048736065629
TimbTan_0852	TimbTan_0784	4130898	311496	61189	302299	542819	170223	62819	258365	8575000	0.226125498076788	0.169978723113797	0.0635866897424563
TimbTan_0852	TimbTan_0785	4098131	311628	60928	305973	536460	203794	61609	256638	8483374	0.228869588099452	0.17447098399759	0.0649356585712156
TimbTan_0852	TimbTan_0786	4143585	309473	60232	305136	547054	176509	61249	260144	8595709	0.223231545336084	0.168363087814046	0.0636719832526125
TimbTan_0852	TimbTan_0787	4148649	353406	87768	225263	465231	127755	109184	290916	8566543	0.307719558123146	0.225559794390718	0.0645743237344184
TimbTan_0852	TimbTan_0788	4081408	314160	65083	318861	536815	213313	65278	253367	8466276	0.236317566202378	0.179972724002105	0.0662695139585489
TimbTan_0852	TimbTan_0789	4080016	305112	57076	299874	539092	193104	57796	253536	8445403	0.220047804714774	0.167517789543013	0.0639611007202652
TimbTan_0852	TimbTan_0790	4101910	316581	65894	308043	532448	186634	66671	258179	8514826	0.237880431240956	0.179631199131329	0.0650474114125481
TimbTan_0852	TimbTan_0791	4114221	307104	55098	310881	546365	207076	55633	255578	8516741	0.216154007340862	0.166206201367489	0.064322673099725
TimbTan_0852	TimbTan_0792	4167127	308929	55489	301626	549887	162789	57175	261939	8643298	0.213823305337353	0.161654594422462	0.0623954259432507
TimbTan_0852	TimbTan_0793	3926194	303112	58729	315700	522846	226053	57339	239685	8129261	0.227976825989799	0.175984335423697	0.0667516805926503
TimbTan_0852	TimbTan_0794	3960393	297480	57102	304274	531941	231720	54993	239808	8178921	0.221184062866067	0.170348182456598	0.0660121810263851
TimbTan_0852	TimbTan_0795	4084836	317457	64315	305531	528490	195653	65801	256363	8472354	0.237375737277547	0.180137016591583	0.0652071962381392
TimbTan_0852	TimbTan_0796	4070231	302341	55293	294015	540687	227791	56286	249900	8379418	0.218154639481899	0.16762062654146	0.0648242426157745
TimbTan_0852	TimbTan_0797	3985523	301702	53991	307494	528164	258545	54229	244877	8204447	0.221437178754075	0.173263381059599	0.0666197622034107
TimbTan_0852	TimbTan_0798	3898455	300430	58369	301405	512223	244986	57479	238628	8031937	0.231102398934131	0.179118617426895	0.0670397170547567
TimbTan_0852	TimbTan_0799	3967086	301620	56858	305064	525928	251681	56700	243060	8170348	0.225912826438907	0.175419842446474	0.0668116046978224
TimbTan_0852	TimbTan_0800	4024756	307401	60237	307211	530083	231548	60018	248984	8318732	0.229862872777174	0.176804267627318	0.0662126826872369
TimbTan_0852	TimbTan_0801	4039179	311304	61358	298188	524937	205791	62401	252235	8356235	0.232817727941298	0.177494958864881	0.0651935056678081
TimbTan_0852	TimbTan_0802	4073540	305046	59610	299866	540947	213373	60237	250618	8416037	0.224746928612314	0.171031303941288	0.0650365131159298
TimbTan_0852	TimbTan_0803	4073268	304284	59246	302648	544289	201760	59262	249378	8433881	0.22196470721486	0.168385083410475	0.0646391949517065
TimbTan_0852	TimbTan_0804	4048902	300088	54764	304444	541711	235601	54381	248054	8347981	0.216670959159277	0.167508029799532	0.0653720173690779
TimbTan_0852	TimbTan_0805	4096856	306087	58484	300660	542391	204050	58670	253448	8466093	0.221766296711542	0.168875172343112	0.0644284185495374
TimbTan_0852	TimbTan_0806	3887665	289220	53751	295710	518412	239474	52351	234908	8000073	0.219284798047743	0.17009002117796	0.0659440577371923
TimbTan_0852	TimbTan_0807	3880198	290885	53103	298118	520697	241750	51926	235325	7998310	0.218079068375674	0.169536581463731	0.0662045574191662
TimbTan_0852	TimbTan_0808	3406880	266174	53969	273119	458638	258688	53937	205980	6996870	0.236882583189298	0.184450436855237	0.0700841513730917
TimbTan_0852	TimbTan_0809	3949024	300808	60420	298481	520441	217314	59528	241880	8177327	0.230502926806024	0.176172974381433	0.0657790474699757
TimbTan_0852	TimbTan_0810	3855986	288720	52478	321307	526472	328291	49665	229551	7902667	0.220203863107393	0.175866859933069	0.0700334861978894
