A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
ToryKen_0587	ToryRSA_0588	13884351	1496977	320263	1267421	584772	287125	372725	373999	2687842	0.432315778614982	0.348672409323249	0.126819025192152
ToryKen_0587	ToryNam_0589	15124992	1583705	314703	1685052	766396	385746	277239	367837	2993869	0.379933541170653	0.311718461254635	0.12707951419813
ToryKen_0587	ToryNam_0590	14813334	1555627	309859	1629847	737475	374734	278565	362785	2909508	0.383513130578049	0.314402226857275	0.127054318145944
ToryKen_0587	ToryNam_0591	14868342	1559112	312032	1651603	749007	378446	275999	360098	2922846	0.381799018826778	0.31303229210668	0.127274007544583
ToryKen_0587	ToryNam_0592	15001212	1574616	313370	1675982	754830	383665	278954	366241	2962605	0.38157343462208	0.313074496037954	0.127404679455075
ToryKen_0587	ToryNam_0593	14772551	1550654	307547	1633003	734936	377167	273252	361653	2901971	0.382214721138466	0.31371633425044	0.126982031040032
ToryKen_0587	ToryNam_0594	14963290	1567345	312184	1672028	759247	393841	273776	360182	2939838	0.379769725913399	0.311693839505703	0.127455287215913
ToryKen_0587	ToryNam_0595	14777359	1556576	310084	1636491	731065	376381	278955	362040	2904140	0.384356701641769	0.315303752969893	0.127340684254033
ToryKen_0587	ToryNam_0596	14952195	1572323	312116	1662365	745713	381166	279684	366591	2947782	0.382713681220826	0.314045837705235	0.127299193559327
ToryKen_0587	ToryNam_0597	15126280	1587286	316306	1670637	756417	381501	288584	372613	2997659	0.38389040420075	0.314533494722591	0.127211175862333
ToryKen_0587	ToryNam_0598	15118641	1583184	316187	1678181	760972	383327	282875	371907	2992665	0.38210333693403	0.313257572164587	0.127207734148152
ToryKen_0587	ToryNam_0599	15265150	1605108	318593	1698203	760126	389540	289205	380459	3034727	0.383530896623901	0.314669919850289	0.127395722971853
ToryKen_0587	ToryZim_0727	14512538	1496550	297991	1571079	751651	391276	276031	350293	2810760	0.379622867924365	0.310271540089972	0.1271005886544
ToryKen_0587	ToryZim_0728	14556539	1500389	299069	1562940	751635	400447	283538	352444	2813044	0.38142613203039	0.311454648793319	0.127288133749289
ToryKen_0587	ToryZim_0729	14979891	1531706	297520	1691417	816597	430176	247262	342215	2921769	0.364168308149805	0.299505888954661	0.126871069752276
ToryKen_0587	ToryZim_0730	13276971	1369064	269783	1489237	706491	391524	237159	305917	2514307	0.372174144988319	0.30543906091375	0.128307411320169
ToryKen_0587	ToryZim_0731	14537265	1502252	299180	1543537	744400	388350	288716	353368	2815088	0.383720480004289	0.312954424222963	0.12699491317166
ToryKen_0587	ToryZim_0732	14278476	1476322	292669	1537120	732274	391448	277340	346193	2747650	0.381672512799994	0.311926479630936	0.127343849215371
ToryKen_0587	ToryZim_0733	12995254	1347327	268451	1424446	673111	377079	242157	304984	2428660	0.378411548611288	0.309972891606317	0.128309721486497
ToryKen_0587	ToryZim_0734	14507086	1498802	297636	1627429	759654	424059	262649	344774	2790375	0.374995440342831	0.307846738854545	0.128268678186448
ToryKen_0587	ToryZim_0735	14445018	1488306	294140	1582133	755086	397911	267852	344019	2791645	0.3765441979319	0.308237190740704	0.127233546647137
ToryKen_0587	ToryZim_0736	13978777	1443530	286477	1510162	726232	382897	265068	331773	2679732	0.379032334342971	0.309788099363969	0.127233824869537
ToryKen_0587	ToryZim_0737	15062305	1546649	303013	1666275	795030	421094	273249	362148	2947423	0.373431005049587	0.306161190890238	0.127126507014146
ToryKen_0587	ToryZim_0738	14159481	1457218	285644	1554381	741029	403126	256483	338484	2715269	0.374350989478877	0.307004555865192	0.127298222842608
ToryKen_0587	ToryZim_0739	14837310	1532730	304791	1599066	761473	398759	287914	363839	2893917	0.381717388167005	0.311896645411361	0.127095911500357
ToryKen_0587	ToryZim_0740	14510321	1495481	294872	1600312	759559	418279	269004	346568	2790155	0.376037594382184	0.308168702548992	0.127820008502727
ToryKen_0587	ToryZim_0741	14536427	1499363	296824	1606703	761645	413779	269433	346227	2802591	0.376256264722717	0.308254527265635	0.127817712800857
ToryKen_0587	ToryBot_0600	15114656	1573852	312849	1696222	777606	410050	277908	366477	2972765	0.378169248954455	0.310329302281603	0.127768330746007
ToryKen_0587	ToryBot_0601	13640835	1418803	277511	1510306	705429	355892	237151	321879	2632533	0.373757301060057	0.306985961451464	0.126576947413025
ToryKen_0587	ToryBot_0602	14930344	1599026	333238	1502499	680851	368324	353491	386707	2911982	0.411450157182296	0.334083441421382	0.12812682326401
ToryKen_0587	ToryBot_0603	15134530	1590649	315191	1676248	754637	387762	283675	372319	2994558	0.382736163887684	0.314032580606331	0.127168367059388
ToryKen_0587	ToryBot_0604	14865001	1612576	347191	1302981	606787	312254	429349	414774	2901974	0.44205667994611	0.355850374353285	0.127286464413218
ToryKen_0587	ToryBot_0605	14590823	1521588	300427	1607642	740677	377906	265922	351637	2848162	0.378926596684756	0.310835619685035	0.126790594415766
ToryKen_0587	ToryBot_0606	15125267	1575066	309114	1666300	767868	392157	280694	371763	2990203	0.379446095403204	0.31119879897216	0.126771029683754
ToryKen_0587	ToryBot_0607	15083302	1571203	308432	1670390	767798	401243	277701	368314	2968685	0.378642632130744	0.310759582815867	0.127070007227207
ToryKen_0587	ToryBot_0608	14886289	1551786	305130	1647020	757273	389419	272655	362266	2925042	0.378620082021594	0.310694499284748	0.12692913501737
ToryKen_0587	ToryBot_0609	14892876	1552781	305674	1645520	756740	387955	272999	361841	2925865	0.378891560817304	0.310865062556268	0.126874714502929
ToryKen_0587	ToryNam_0610	15072947	1583460	315921	1670358	753927	380955	285455	370333	2982182	0.383522440566598	0.314360776077597	0.127304036319815
ToryKen_0587	ToryNam_0611	14987614	1579307	313713	1642877	740070	377297	289183	369873	2957919	0.385821920957747	0.31611875790615	0.127165994212793
ToryKen_0587	ToryNam_0612	14795962	1559005	310979	1622384	730413	370944	281515	364052	2906526	0.385298546048615	0.31578401560109	0.127099684505736
ToryKen_0587	ToryNam_0613	15127133	1596473	321299	1638361	736706	371881	302743	380466	2997552	0.390419790495745	0.319288768917214	0.127211460129664
ToryKen_0587	ToryNam_0614	14938492	1572555	312418	1629549	734291	374685	287971	371618	2942370	0.386191768267602	0.316436394100646	0.126996394267661
ToryKen_0587	ToryNam_0615	14869902	1564304	314713	1635831	735557	373133	286782	367938	2925574	0.386332498434316	0.316400726653882	0.127412255857678
ToryKen_0587	ToryNam_0616	15145173	1595486	319563	1676248	752280	382339	290982	373489	3001578	0.385415243276655	0.315803979689523	0.127477945704359
