A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
ToryKen_0587	ToryRSA_0588	1450653283	1496977	320263	1267421	584772	287125	372725	373999	2687842	0.432315778614982	0.348672409323249	0.00185051634027495
ToryKen_0587	ToryNam_0589	1450073173	1583705	314703	1685052	766396	385746	277239	367837	2993869	0.379933541170653	0.311718461254635	0.0020475948222539
ToryKen_0587	ToryNam_0590	1450202519	1555627	309859	1629847	737475	374734	278565	362785	2909508	0.383513130578049	0.314402226857275	0.00200132762882958
ToryKen_0587	ToryNam_0591	1450176624	1559112	312032	1651603	749007	378446	275999	360098	2922846	0.381799018826778	0.31303229210668	0.00201398290250867
ToryKen_0587	ToryNam_0592	1450119680	1574616	313370	1675982	754830	383665	278954	366241	2962605	0.38157343462208	0.313074496037954	0.00203643035049782
ToryKen_0587	ToryNam_0593	1450211294	1550654	307547	1633003	734936	377167	273252	361653	2901971	0.382214721138466	0.31371633425044	0.00199506466437377
ToryKen_0587	ToryNam_0594	1450133913	1567345	312184	1672028	759247	393841	273776	360182	2939838	0.379769725913399	0.311693839505703	0.00203116868276337
ToryKen_0587	ToryNam_0595	1450213395	1556576	310084	1636491	731065	376381	278955	362040	2904140	0.384356701641769	0.315303752969893	0.00200245290848097
ToryKen_0587	ToryNam_0596	1450145769	1572323	312116	1662365	745713	381166	279684	366591	2947782	0.382713681220826	0.314045837705235	0.00202677702980602
ToryKen_0587	ToryNam_0597	1450078831	1587286	316306	1670637	756417	381501	288584	372613	2997659	0.38389040420075	0.314533494722591	0.00204951650054492
ToryKen_0587	ToryNam_0598	1450078150	1583184	316187	1678181	760972	383327	282875	371907	2992665	0.38210333693403	0.313257572164587	0.00204864940735252
ToryKen_0587	ToryNam_0599	1450022169	1605108	318593	1698203	760126	389540	289205	380459	3034727	0.383530896623901	0.314669919850289	0.00207371949115903
ToryKen_0587	ToryZim_0727	1450283041	1496550	297991	1571079	751651	391276	276031	350293	2810760	0.379622867924365	0.310271540089972	0.00195747522649177
