A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TspeBot_0867	TspeBot_0868	9963233	314489	76115	318858	672847	284394	77317	273040	5401261	0.220921646643557	0.161659378831897	0.0624366497955246
TspeBot_0867	TspeBot_0869	9491985	300168	70919	313565	639524	269620	69627	260308	5114372	0.217576258741761	0.160413106960727	0.0624399882202684
TspeBot_0867	TspeBot_0870	9753157	307936	74749	313475	656746	268878	75599	265956	5273188	0.221033514738306	0.161382046944856	0.062205012170915
TspeBot_0867	TspeZam_0871	8377811	486687	614220	1264095	536907	662532	465246	204018	4330051	0.536855862534822	0.418768194760854	0.156808723773899
TspeBot_0867	TspeTan_0872	8419295	585770	956244	959663	436137	390476	875668	226039	4363263	0.676965176806839	0.543382384532841	0.181899462340135
TspeBot_0867	TspeTan_0873	8421743	585387	951355	1001320	443730	391749	861029	224197	4388371	0.671499644429972	0.537971969978845	0.181573751072811
TspeBot_0867	TspeTan_0874	8226732	568698	926387	1037303	446895	420756	815749	213417	4253366	0.661449702206808	0.528287958373267	0.182483600891178
TspeBot_0867	TspeTan_0875	8154708	566547	927074	987001	435514	424081	819725	212021	4171668	0.666525352677552	0.533286992593487	0.183214689796392
TspeBot_0867	TspeTan_0876	8366600	581632	961043	914821	436250	362146	890865	222540	4333921	0.683486934337212	0.549334214024209	0.182228217078823
TspeBot_0867	TspeTan_0877	8128825	566434	935607	890242	422307	372577	857428	214985	4162148	0.681806734224243	0.547865908532453	0.182852349404881
TspeBot_0867	TspeTan_0878	8497887	591529	973582	908386	438104	365262	912422	230001	4411622	0.685831420917991	0.551754740471651	0.18193099981851
TspeBot_0867	TspeTan_0879	8255755	572602	930002	1009199	443525	397645	828315	215934	4285585	0.666161918016711	0.532670096407838	0.181701935500782
TspeBot_0867	TspeTan_0881	8554406	596045	994793	822870	431258	336174	959584	233982	4431484	0.699631368398866	0.565443254929588	0.182282998809488
TspeBot_0867	TspeTan_0883	8139096	565624	916733	988705	427883	399737	817374	213214	4206975	0.667616907211938	0.534479484994006	0.18180668689174
TspeBot_0867	TspeTan_0884	8221522	569990	936309	954443	434355	379961	850156	217073	4264420	0.674737804151101	0.540921331700707	0.182097355580317
TspeBot_0867	TspeTan_0885	8260853	570762	936817	999779	445621	413339	837999	214852	4267209	0.667422076955842	0.53385293328527	0.182743275287863
TspeBot_0867	TspeTan_0886	7982402	556890	908823	902642	419559	368639	825962	211747	4121026	0.67627894780842	0.542384969433637	0.181898385599432
