A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TspeBot_0867	TspeBot_0868	1447955479	314489	76115	318858	672847	284394	77317	273040	5401261	0.220921646643557	0.161659378831897	0.000745681968439998
TspeBot_0867	TspeBot_0869	1448303197	300168	70919	313565	639524	269620	69627	260308	5114372	0.217576258741761	0.160413106960727	0.000709207180473749
TspeBot_0867	TspeBot_0870	1448122253	307936	74749	313475	656746	268878	75599	265956	5273188	0.221033514738306	0.161382046944856	0.000726173857967861
TspeBot_0867	TspeZam_0871	1448853513	486687	614220	1264095	536907	662532	465246	204018	4330051	0.536855862534822	0.418768194760854	0.00182280363798818
TspeBot_0867	TspeTan_0872	1449171106	585770	956244	959663	436137	390476	875668	226039	4363263	0.676965176806839	0.543382384532841	0.00214748355516393
TspeBot_0867	TspeTan_0873	1449138974	585387	951355	1001320	443730	391749	861029	224197	4388371	0.671499644429972	0.537971969978845	0.00215062096558571
TspeBot_0867	TspeTan_0874	1449252587	568698	926387	1037303	446895	420756	815749	213417	4253366	0.661449702206808	0.528287958373267	0.00211646621118111
TspeBot_0867	TspeTan_0875	1449343737	566547	927074	987001	435514	424081	819725	212021	4171668	0.666525352677552	0.533286992593487	0.00209850298942984
TspeBot_0867	TspeTan_0876	1449232164	581632	961043	914821	436250	362146	890865	222540	4333921	0.683486934337212	0.549334214024209	0.00213356678108248
TspeBot_0867	TspeTan_0877	1449415004	566434	935607	890242	422307	372577	857428	214985	4162148	0.681806734224243	0.547865908532453	0.00207588918125847
TspeBot_0867	TspeTan_0878	1449142032	591529	973582	908386	438104	365262	912422	230001	4411622	0.685831420917991	0.551754740471651	0.00216234808857289
TspeBot_0867	TspeTan_0879	1449244332	572602	930002	1009199	443525	397645	828315	215934	4285585	0.666161918016711	0.532670096407838	0.00211105851428972
TspeBot_0867	TspeTan_0881	1449154123	596045	994793	822870	431258	336174	959584	233982	4431484	0.699631368398866	0.565443254929588	0.00217052650321353
TspeBot_0867	TspeTan_0883	1449339212	565624	916733	988705	427883	399737	817374	213214	4206975	0.667616907211938	0.534479484994006	0.00207952502763067
TspeBot_0867	TspeTan_0884	1449291212	569990	936309	954443	434355	379961	850156	217073	4264420	0.674737804151101	0.540921331700707	0.00210191396809313
TspeBot_0867	TspeTan_0885	1449246000	570762	936817	999779	445621	413339	837999	214852	4267209	0.667422076955842	0.53385293328527	0.00212423603915599
TspeBot_0867	TspeTan_0886	1449466050	556890	908823	902642	419559	368639	825962	211747	4121026	0.67627894780842	0.542384969433637	0.00203358584907334
TspeBot_0867	TspeGha_0888	1449366909	749984	1048621	444902	175579	190977	1127781	333565	4519991	0.779060111346731	0.660955048567543	0.00214265763342894
TspeBot_0867	TspeCam_1011	1448873955	534230	784334	1628131	536389	654323	527015	192981	4329373	0.558804006601876	0.439694695567433	0.00211539611102797
TspeBot_0867	TspeCon_1012	1449018317	692137	857072	1291908	295211	520343	709112	288521	4464629	0.637399187973677	0.515383180815005	0.00213302554337735
TspeBot_0867	TspeCam_1013	1449115268	677576	823344	1389679	292271	566636	640031	279488	4333358	0.619733328984846	0.500549400927745	0.00210284814664794
TspeBot_0867	TspeCam_1014	1448880548	532834	785689	1644481	536272	661454	525657	190312	4318435	0.558112995838481	0.439289431915592	0.00212199033163767
TspeBot_0867	TspeCam_1015	1449043391	514053	748838	1670085	525218	675645	479886	181949	4160818	0.547156080989337	0.431130639822473	0.00206598027552791
TspeBot_0867	TspeCam_1016	1449004800	518139	755340	1707655	525945	677785	497476	184156	4194335	0.549009757959718	0.432908195136706	0.00209843503265458
TspeBot_0867	TspeCam_1017	1450207760	412500	601469	1377153	429565	546884	374441	140811	3262001	0.542201914230178	0.427138793947943	0.0016669723762606
TspeBot_0867	TspeCam_1018	1448920512	674556	788843	1665122	333632	668798	535657	269948	4394131	0.579869806839826	0.467147001539805	0.00214676867891264
TspeBot_0867	TspeCam_1019	1448869487	536490	795405	1577370	533010	631108	559050	194836	4358580	0.567992790792126	0.446778430343672	0.00211985232911627
TspeBot_0867	TspeCam_1020	1448952276	668086	773576	1687558	334616	677337	513997	266653	4356139	0.573885983972247	0.462412470609637	0.00212908628493274
TspeBot_0867	TspeCam_1021	1448769357	541080	792279	1653185	544658	661274	539871	196974	4414758	0.559014274228319	0.439837792399129	0.00214711381344133
TspeBot_0867	TspeDRC_1022	1449156783	636324	725833	1733071	331608	704988	448061	249307	4144335	0.557238171611512	0.449610341992339	0.00205848748867994
TspeBot_0867	TspeDRC_1023	1448952764	653440	731354	1662555	339307	696607	483872	264867	4333476	0.563868161301895	0.454183034968391	0.00207364115810849
TspeBot_0867	TspeDRC_1024	1448768695	535156	771239	1684166	547421	681780	509193	195039	4394086	0.549678138369824	0.432576752395176	0.00212759148028073
TspeBot_0867	TspeDRC_1025	1449065657	584450	949319	1075007	455172	401253	855051	223785	4441154	0.664499666346744	0.531277437514997	0.00217701838338082
TspeBot_0868	TspeBot_0869	1447967200	315020	68422	324152	675418	282477	66598	283662	5378264	0.207679671782511	0.154608038996919	0.000738912436578726
TspeBot_0868	TspeBot_0870	1447409677	48157	0	50310	1171740	82556	0	93103	5829945	-0.206938033446161	-0.206938033446161	0.000496968592842661
TspeBot_0868	TspeZam_0871	1448528138	513062	643242	1313299	575427	696354	482949	219356	4567746	0.534050404437199	0.415961978137234	0.00191071313025681
TspeBot_0868	TspeTan_0872	1448858983	622516	1008094	999664	466872	409316	914970	242815	4609035	0.675329837420256	0.541468680082051	0.00225881806408008
TspeBot_0868	TspeTan_0873	1448823634	624063	1001087	1044529	471537	412270	897799	243175	4636405	0.669655740802925	0.536033111369572	0.0022608530181547
TspeBot_0868	TspeTan_0874	1448956013	603783	971723	1079759	474348	441667	847491	230282	4484711	0.659446443176614	0.52618493845234	0.00221806198151542
TspeBot_0868	TspeTan_0875	1449064000	603212	972729	1029476	458859	446365	852003	228782	4389015	0.664851042217684	0.531655597483948	0.00220026146651589
TspeBot_0868	TspeTan_0876	1448927854	619167	1009188	954481	462489	381173	926555	241471	4574034	0.681353508720751	0.54710288450628	0.00223931248518839
TspeBot_0868	TspeTan_0877	1449135788	601448	980705	926020	447269	390447	890924	230808	4382709	0.679955725572163	0.545878966307423	0.00217397474562237
TspeBot_0868	TspeTan_0878	1448816676	631002	1025157	948831	467806	385750	952718	249460	4667329	0.683602418723187	0.549332535746235	0.00227638548765758
TspeBot_0868	TspeTan_0879	1448942440	608423	977628	1051170	470827	418615	862969	234242	4520897	0.664411416391741	0.530825739052001	0.00221676417954673
TspeBot_0868	TspeTan_0881	1448831121	637412	1046909	861244	456888	356513	1001478	254580	4687919	0.69749977401464	0.563234485165552	0.00228491027146047
TspeBot_0868	TspeTan_0883	1449053491	599041	960715	1027742	454848	418621	848831	229628	4430433	0.665591216971818	0.532286240595177	0.00217725319693954
TspeBot_0868	TspeTan_0884	1448999489	606838	982867	994151	458529	399763	885140	235000	4494240	0.67312956352184	0.5392940267398	0.00220509189119858
TspeBot_0868	TspeTan_0885	1448951756	609029	982442	1044280	467407	437489	870537	233986	4496383	0.665587025884859	0.532188201221197	0.00222830355227973
TspeBot_0868	TspeTan_0886	1449195681	590284	952238	937641	444064	386486	858541	227701	4333089	0.674573685019365	0.540554770289894	0.00212896099353758
TspeBot_0868	TspeGha_0888	1449057738	799007	1103548	466266	186635	203156	1175368	360392	4779100	0.776662658525434	0.658143107614648	0.002254011146226
TspeBot_0868	TspeCam_1011	1448530843	569314	824329	1700353	573994	689259	549471	209935	4582990	0.556595133417714	0.437542821758877	0.00222545580188144
TspeBot_0868	TspeCon_1012	1448669926	741357	902237	1355437	312175	552271	739146	315543	4737106	0.63524341892001	0.513509981837403	0.00224900077465438
TspeBot_0868	TspeCam_1013	1448796876	719400	868831	1450842	315413	594798	669728	299808	4580126	0.618454690878967	0.499111033405031	0.00221401546331798
