A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TstrZam_0619	TstrNam_0742	9287457	701105	147189	757221	554880	306951	135534	294192	4915090	0.335548570479124	0.270705273002075	0.0929785336152811
TstrZam_0619	TstrNam_0743	9367860	707675	150653	762036	556844	320936	139253	295392	4933718	0.338084636202516	0.272654345971247	0.093496181205843
TstrZam_0619	TstrNam_0744	9800807	738734	154666	785513	579665	318511	147432	317170	5224437	0.3382241921764	0.272497217282536	0.0925389115530664
TstrZam_0619	TstrNam_0745	9817490	744004	159240	792225	577730	311729	151724	319471	5240724	0.342084319967576	0.275140649334685	0.0929398354463649
TstrZam_0619	TstrNam_0746	9919523	750747	158815	794138	580650	306383	152822	326157	5314351	0.341737079885375	0.27491026302576	0.0923684845144553
TstrZam_0619	TstrNam_0747	9759375	740001	158639	786960	574661	312567	152154	318270	5203999	0.342660379730544	0.275529378879348	0.0931336331414891
TstrZam_0619	TstrNam_0748	6920091	530581	113361	614159	432692	277991	97818	206257	3511850	0.330559892132622	0.268359952523818	0.0977598230590013
TstrZam_0619	TstrNam_0821	9346275	709482	149796	777437	552213	342600	137115	298624	4927300	0.337760257736362	0.273726968284283	0.0943741030745482
TstrZam_0619	TstrZim_0822	9810480	701776	128972	719436	603799	333423	127737	320767	5195644	0.314460426794846	0.25451847411308	0.0889703753766156
TstrZam_0619	TstrZim_0823	9033021	647300	119012	682832	559068	310873	110747	287295	4719612	0.310812385231959	0.252534999897563	0.0894635380236263
TstrZam_0619	TstrZim_0824	9801470	710065	132901	734072	592370	340654	128613	323354	5183012	0.318992590864565	0.258867260696412	0.089809740734564
TstrZam_0619	TstrZim_0825	9823328	695497	122214	705849	606613	297109	119600	321771	5227446	0.306973947427616	0.248555100018487	0.0867903588658276
TstrZam_0619	TstrZim_0826	8967730	642959	117322	723026	568495	379778	108280	282577	4640823	0.30767946210662	0.252341150573069	0.092752749530004
TstrZam_0619	TstrZim_0827	9628556	691540	126850	714323	589381	316058	120984	313596	5091049	0.313312819960652	0.254071501738879	0.0886910590673655
TstrZam_0619	TstrZim_0828	9780910	703404	131060	737812	601146	321780	125510	318735	5191756	0.31497590073311	0.255183486326963	0.0892138465182751
TstrZam_0619	TstrZim_0829	8803820	642631	120032	689187	544551	328601	110720	277817	4570793	0.314529259053085	0.256238685593488	0.0915049472431638
TstrZam_0619	TstrZim_0830	9571550	691639	130464	751965	593280	384955	121756	305677	5007570	0.315008001346553	0.257026797004835	0.0920320777162248
TstrZam_0619	TstrBot_0749	10013274	727233	138044	732489	598729	288633	139246	336175	5365599	0.324243114002889	0.260950587205278	0.0882753829428212
TstrZam_0619	TstrBot_0750	9961526	730719	141395	728298	587889	297970	144908	335726	5322209	0.330201450383744	0.26556664267983	0.0891258607917311
TstrZam_0619	TstrBot_0751	9954689	727250	144194	729487	592329	290529	145144	333779	5323726	0.330534483377152	0.26515458359323	0.0891405997008847
TstrZam_0619	TstrBot_0752	10037208	731343	140848	734099	596390	298110	143158	339897	5370681	0.327544003689275	0.263538823229759	0.0888402094114671
TstrZam_0619	TstrBot_0753	10014426	729983	140873	733291	597097	286035	142771	336847	5369525	0.327219684354081	0.262899925410286	0.0885665065723393
TstrZam_0619	TstrBot_0754	9538945	702537	136273	693872	563147	283483	138391	318309	5068410	0.33037170484272	0.265519092772997	0.0891650104019482
TstrZam_0619	TstrBot_0755	9975847	730682	142514	781916	606028	306177	134553	326929	5348313	0.32286829936039	0.260925975389365	0.0900635695857001
TstrZam_0619	TstrBot_0756	9362757	687850	132988	727226	568430	344017	127981	302110	4910241	0.32349866146122	0.2624228447915	0.0918097310587522
TstrZam_0619	TstrBot_0757	7457282	712270	138172	3380321	836122	3710247	42119	109828	1930866	0.29853107295016	0.284367402281915	0.248655814550969
TstrZam_0619	TstrBot_0758	9896839	709392	129110	727135	602621	289955	126376	328664	5292450	0.314051425503962	0.253895216103785	0.0875219347647419
TstrZam_0619	TstrBot_0759	10062265	727437	140570	747893	611394	287568	138746	334884	5404817	0.322569339039095	0.25925405410711	0.0885317357238523
TstrZam_0619	TstrBot_0760	10064910	730404	138549	732621	601364	283791	140819	339709	5404706	0.324580038244844	0.260989077342026	0.0880470619936472
TstrZam_0619	TstrBot_0761	9760207	712551	135685	739898	588804	304860	131775	320415	5201385	0.322112577392063	0.260316902000508	0.089448008949696
TstrZam_0619	TstrBot_0762	9792014	715068	136156	742005	589840	302140	133071	322771	5226508	0.322662191041814	0.260657953001608	0.0893751204441219
TstrZam_0619	TstrTan_0831	9896009	720376	137903	615139	556489	274989	157020	349925	5246590	0.340491263578437	0.271317972815675	0.0865179866372886
TstrZam_0619	TstrTan_0832	9799339	722027	138626	604972	533576	284750	159860	352712	5171333	0.346988867129843	0.277289929911775	0.0870989765126121
TstrZam_0619	TstrTan_0833	9682253	733292	154151	538804	490603	267783	192894	362189	5088688	0.377281666229855	0.298400758813444	0.0881394969931739
TstrZam_0619	TstrTan_0834	9782228	745195	152886	534716	484394	261413	195467	371836	5149103	0.379076526643958	0.300304538111937	0.0875210256262885
TstrZam_0619	TstrTan_0835	9994667	755430	153482	548741	503387	242559	196552	379342	5306041	0.375231251666253	0.296551325487538	0.0865456916103975
TstrZam_0619	TstrTan_0836	9780495	735606	147598	569552	507003	281964	181361	362115	5147617	0.365640621531299	0.290716629823099	0.0879044578396439
TstrZam_0619	TstrTan_0837	9319364	704519	145993	571609	486928	310456	174874	339041	4842638	0.367123216209435	0.292831934597196	0.0903880056976381
TstrZam_0619	TstrTan_0838	9399657	707578	142362	563943	490857	275945	169755	343340	4925886	0.362914519914244	0.289098095117889	0.0883083598566171
TstrZam_0619	TstrTan_0839	9867725	716469	135458	619122	555135	280650	153257	345700	5223736	0.338136469385851	0.270030922949476	0.086451987154229
TstrZam_0619	TstrKen_0763	8996699	1213946	938544	816121	186249	104749	1115159	269137	4772975	0.723637553387219	0.601420069244885	0.181866002258442
TstrZam_0619	TstrTan_0768	10080359	755306	151729	558038	515931	229956	193317	382035	5377842	0.37041224073815	0.292446550613619	0.085816431493677
TstrZam_0619	TstrTan_0769	9866918	751257	157527	516246	479930	230138	206880	381260	5219125	0.387070944576422	0.305052539170894	0.0866864024437595
TstrZam_0619	TstrTan_0770	10107994	765347	161310	519593	494485	212662	212977	393655	5389589	0.387377873407361	0.304300305057181	0.0858358694444816
TstrZam_0619	TstrNA-_0840	9641456	710233	139569	782809	584116	449788	136579	314851	5001519	0.327083259062141	0.267484833760698	0.0955494704103166
TstrZam_0619	TstrRSA_0841	9573929	723617	151991	792788	570618	328344	140187	303185	5084036	0.336106243346772	0.271678297290026	0.093467797140649
TstrZam_0619	TstrZam_0842	9613799	685943	123882	685542	583246	318579	121731	317226	5062344	0.31342697240518	0.253969143840233	0.0879885397068528
TstrZam_0619	TstrTan_0844	9599281	706027	134158	633345	540861	332650	149449	333730	5017074	0.33897547936992	0.272736395050561	0.0892389193867564
TstrZam_0619	TstrTan_0845	9684384	710041	134420	607366	537445	280353	152397	343629	5108289	0.341237101693886	0.272918865516052	0.0869236722138172
TstrZam_0619	TstrTan_0846	9827440	744378	152460	543745	494432	258860	191225	370349	5181434	0.374836970585977	0.296860874579787	0.0872291615053385
TstrZam_0619	TstrTan_0847	9607618	720996	145210	582883	505967	301182	175178	350800	5028318	0.362300183974494	0.288865422382734	0.0890623758479085
TstrZam_0619	TstrTan_0771	10083388	734122	142255	612680	561372	246919	166174	363252	5389530	0.345131825063109	0.273679230576386	0.0856627259081738
TstrZam_0619	TstrTan_0848	9981783	746781	154069	555601	517272	256489	191670	372094	5280961	0.370323102574597	0.292404086506112	0.0869403468625531
TstrZam_0619	TstrTan_0849	9604186	715548	143066	568299	511650	260615	169931	348461	5061343	0.358486822212917	0.284600335348614	0.0871699286761239
TstrZam_0619	TstrTan_0850	9280759	680568	131427	588548	519330	266580	146418	324409	4885315	0.341591925386483	0.272748825867052	0.0872336455619967
TstrZam_0619	TstrZam_0851	9737954	694895	128743	715081	598065	340883	125521	318273	5132402	0.314537205415036	0.254879208268283	0.0892467868796088
TstrZam_0619	TstrTan_0818	9694688	730278	148697	553577	498648	275600	185587	359528	5099391	0.370038678646451	0.293515243021678	0.0879459721689179
TstrNam_0742	TstrNam_0743	9000500	666084	102615	664661	619991	282364	102666	271442	4728412	0.285438186767951	0.231306989423294	0.0886657032916462
TstrNam_0742	TstrNam_0744	9386918	704560	111985	694522	631518	279274	115061	292546	4992788	0.294634319555537	0.238033372139242	0.0888047373807409
TstrNam_0742	TstrNam_0745	9389456	703489	110115	692137	633297	274492	115110	293421	4995672	0.29333118059808	0.236932865731818	0.0885468858394012
TstrNam_0742	TstrNam_0746	9490105	712124	112733	696799	635793	266405	117455	298955	5071779	0.295246215649466	0.238129741930093	0.0882204886431261
TstrNam_0742	TstrNam_0747	9329989	700352	109617	688230	627773	275858	115350	292686	4957036	0.294267152975688	0.237763888621972	0.0887539436263587
