A	B	A0B0	A1B0	A2B0	A0B1	A1B1	A2B1	A0B2	A1B2	A2B2	fstW	fstU	dxy
TstrZam_0619	TstrNam_0742	1448515908	701105	147189	757221	554880	306951	135534	294192	4915090	0.335548570479124	0.270705273002075	0.0010917165800423
TstrZam_0619	TstrNam_0743	1448480131	707675	150653	762036	556844	320936	139253	295392	4933718	0.338084636202516	0.272654345971247	0.00110643129729943
TstrZam_0619	TstrNam_0744	1448147238	738734	154666	785513	579665	318511	147432	317170	5224437	0.3382241921764	0.272497217282536	0.00114795327963229
TstrZam_0619	TstrNam_0745	1448137367	744004	159240	792225	577730	311729	151724	319471	5240724	0.342084319967576	0.275140649334685	0.00115593514888411
TstrZam_0619	TstrNam_0746	1448059480	750747	158815	794138	580650	306383	152822	326157	5314351	0.341737079885375	0.27491026302576	0.00116082391804733
TstrZam_0619	TstrNam_0747	1448177524	740001	158639	786960	574661	312567	152154	318270	5203999	0.342660379730544	0.275529378879348	0.00115146523788021
TstrZam_0619	TstrNam_0748	1450158231	530581	113361	614159	432692	277991	97818	206257	3511850	0.330559892132622	0.268359952523818	0.000853068458850455
TstrZam_0619	TstrNam_0821	1448466284	709482	149796	777437	552213	342600	137115	298624	4927300	0.337760257736362	0.273726968284283	0.00111722929031137
TstrZam_0619	TstrZim_0822	1448133388	701776	128972	719436	603799	333423	127737	320767	5195644	0.314460426794846	0.25451847411308	0.00109616695009334
TstrZam_0619	TstrZim_0823	1448710173	647300	119012	682832	559068	310873	110747	287295	4719612	0.310812385231959	0.252534999897563	0.00101187798281716
TstrZam_0619	TstrZim_0824	1448147631	710065	132901	734072	592370	340654	128613	323354	5183012	0.318992590864565	0.258867260696412	0.00110676344871424
TstrZam_0619	TstrZim_0825	1448134082	695497	122214	705849	606613	297109	119600	321771	5227446	0.306973947427616	0.248555100018487	0.00106798603702336
TstrZam_0619	TstrZim_0826	1448715348	642959	117322	723026	568495	379778	108280	282577	4640823	0.30767946210662	0.252341150573069	0.00104658830422813
TstrZam_0619	TstrZim_0827	1448276937	691540	126850	714323	589381	316058	120984	313596	5091049	0.313312819960652	0.254071501738879	0.00107144579925144
TstrZam_0619	TstrZim_0828	1448153604	703404	131060	737812	601146	321780	125510	318735	5191756	0.31497590073311	0.255183486326963	0.00109731866480977
TstrZam_0619	TstrZim_0829	1448865259	642631	120032	689187	544551	328601	110720	277817	4570793	0.314529259053085	0.256238685593488	0.00101098507261813
TstrZam_0619	TstrZim_0830	1448295539	691639	130464	751965	593280	384955	121756	305677	5007570	0.315008001346553	0.257026797004835	0.00110965943569843
TstrZam_0619	TstrBot_0749	1447997885	727233	138044	732489	598729	288633	139246	336175	5365599	0.324243114002889	0.260950587205278	0.00111164786360427
TstrZam_0619	TstrBot_0750	1448043227	730719	141395	728298	587889	297970	144908	335726	5322209	0.330201450383744	0.26556664267983	0.00111691813345509
TstrZam_0619	TstrBot_0751	1448046658	727250	144194	729487	592329	290529	145144	333779	5323726	0.330534483377152	0.26515458359323	0.0011165199805361
TstrZam_0619	TstrBot_0752	1447981943	731343	140848	734099	596390	298110	143158	339897	5370681	0.327544003689275	0.263538823229759	0.00112194230851195
TstrZam_0619	TstrBot_0753	1447997517	729983	140873	733291	597097	286035	142771	336847	5369525	0.327219684354081	0.262899925410286	0.00111600125251218
TstrZam_0619	TstrBot_0754	1448353672	702537	136273	693872	563147	283483	138391	318309	5068410	0.33037170484272	0.265519092772997	0.00106803732553194
TstrZam_0619	TstrBot_0755	1447999574	730682	142514	781916	606028	306177	134553	326929	5348313	0.32286829936039	0.260925975389365	0.00113496255185178
TstrZam_0619	TstrBot_0756	1448462223	687850	132988	727226	568430	344017	127981	302110	4910241	0.32349866146122	0.2624228447915	0.00108207475475451
TstrZam_0619	TstrBot_0757	1447999958	712270	138172	3380321	836122	3710247	42119	109828	1930866	0.29853107295016	0.284367402281915	0.00312208526030069
TstrZam_0619	TstrBot_0758	1448073331	709392	129110	727135	602621	289955	126376	328664	5292450	0.314051425503962	0.253895216103785	0.00108795736463236
TstrZam_0619	TstrBot_0759	1447948358	727437	140570	747893	611394	287568	138746	334884	5404817	0.322569339039095	0.25925405410711	0.00112192354103675
TstrZam_0619	TstrBot_0760	1447957451	730404	138549	732621	601364	283791	140819	339709	5404706	0.324580038244844	0.260989077342026	0.00111466024403185
TstrZam_0619	TstrBot_0761	1448171557	712551	135685	739898	588804	304860	131775	320415	5201385	0.322112577392063	0.260316902000508	0.00109916664339433
TstrZam_0619	TstrBot_0762	1448145762	715068	136156	742005	589840	302140	133071	322771	5226508	0.322662191041814	0.260657953001608	0.00110219344755963
TstrZam_0619	TstrTan_0831	1448159028	720376	137903	615139	556489	274989	157020	349925	5246590	0.340491263578437	0.271317972815675	0.00106672392258415
TstrZam_0619	TstrTan_0832	1448244650	722027	138626	604972	533576	284750	159860	352712	5171333	0.346988867129843	0.277289929911775	0.00106269139539995
TstrZam_0619	TstrTan_0833	1448377758	733292	154151	538804	490603	267783	192894	362189	5088688	0.377281666229855	0.298400758813444	0.00105986400845899
TstrZam_0619	TstrTan_0834	1448320275	745195	152886	534716	484394	261413	195467	371836	5149103	0.379076526643958	0.300304538111937	0.00106243219387716
TstrZam_0619	TstrTan_0835	1448155692	755430	153482	548741	503387	242559	196552	379342	5306041	0.375231251666253	0.296551325487538	0.00107452218221983
TstrZam_0619	TstrTan_0836	1448288322	735606	147598	569552	507003	281964	181361	362115	5147617	0.365640621531299	0.290716629823099	0.0010692599903738
TstrZam_0619	TstrTan_0837	1448607958	704519	145993	571609	486928	310456	174874	339041	4842638	0.367123216209435	0.292831934597196	0.00104872975064987
