P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ScafKen	ScafNA-	TbuxEth	0.00135644	0.590087	0.555132	1.52945e+06	33712.1	33620.8
ScafKen	ScafNA-	TderCam	0.0252131	11.8141	2.3e-16	1.59216e+06	34090.8	32414
ScafKen	ScafNA-	TderCha	0.0258076	12.1505	2.3e-16	1.60256e+06	34273	32548.5
ScafKen	ScafNA-	TderSSu	0.025024	12.4383	2.3e-16	1.60401e+06	34377.9	32699.3
ScafKen	ScafNA-	TderUga	0.0259684	12.4831	2.3e-16	1.60335e+06	34335.2	32597.1
ScafKen	ScafNA-	TimbAby	0.0377826	15.2475	2.3e-16	1.72011e+06	32726	30343.1
ScafKen	ScafNA-	TimbEth	0.0376652	13.7524	2.3e-16	1.68242e+06	31962.8	29642.4
ScafKen	ScafNA-	TimbKen	0.0372214	15.0006	2.3e-16	1.71673e+06	32673.2	30328.2
ScafKen	ScafNA-	TimbSom	0.0371381	14.6403	2.3e-16	1.71929e+06	32734.5	30390.2
ScafKen	ScafNA-	TimbTan	0.0376727	15.0774	2.3e-16	1.72004e+06	32754.4	30376.1
ScafKen	ScafNA-	TimbUga	0.0398881	15.3462	2.3e-16	1.67426e+06	31643.1	29215.6
ScafKen	ScafNA-	ToryBot	0.0382238	17.6954	2.3e-16	1.59616e+06	33742.8	31258.2
ScafKen	ScafNA-	ToryEth	0.0377182	16.7069	2.3e-16	1.60161e+06	33921.1	31455.2
ScafKen	ScafNA-	ToryKen	0.0378775	16.6091	2.3e-16	1.5772e+06	33250.4	30823.5
ScafKen	ScafNA-	ToryNam	0.0379569	15.5141	2.3e-16	1.6016e+06	33899.5	31420.2
ScafKen	ScafNA-	ToryRSA	0.0388295	17.6283	2.3e-16	1.50262e+06	31439.4	29089.1
ScafKen	ScafNA-	ToryTan	0.0386774	16.6009	2.3e-16	1.59627e+06	33738.1	31225.5
ScafKen	ScafNA-	ToryZam	0.0381019	15.7372	2.3e-16	1.60021e+06	33857.5	31372.1
ScafKen	ScafNA-	ToryZim	0.0385581	15.8403	2.3e-16	1.56238e+06	32994.1	30544.2
ScafNA-	ScafKen	TscrGha	0.0224404	7.60635	2.81937e-14	1.37772e+06	33051.9	31601
ScafKen	ScafNA-	TspeBot	0.0202297	9.63412	2.3e-16	1.55099e+06	33594.2	32262
ScafKen	ScafNA-	TspeCam	0.0215098	10.2416	2.3e-16	1.5581e+06	33864.6	32438.4
ScafKen	ScafNA-	TspeCon	0.020678	9.88043	2.3e-16	1.55579e+06	33834.7	32463.8
ScafKen	ScafNA-	TspeDRC	0.0205303	9.51184	2.3e-16	1.55796e+06	33821.5	32460.7
ScafKen	ScafNA-	TspeGha	0.0190395	10.2694	2.3e-16	1.55024e+06	33537.3	32284.1
ScafKen	ScafNA-	TspeTan	0.0205047	10.6454	2.3e-16	1.55342e+06	33641	32289.1
ScafKen	ScafNA-	TspeZam	0.0203821	10.1503	2.3e-16	1.54085e+06	33263.5	31934.6
ScafKen	ScafNA-	TstrBot	0.0262591	9.65696	2.3e-16	1.56777e+06	33406.2	31696.6
ScafKen	ScafNA-	TstrNA-	0.0252692	8.85929	2.3e-16	1.56883e+06	32885.9	31264.9
ScafKen	ScafNA-	TstrNam	0.0262652	9.03812	2.3e-16	1.56711e+06	33326.1	31620.3
ScafKen	ScafNA-	TstrRSA	0.0266262	9.49984	2.3e-16	1.55474e+06	32982.3	31271.5
ScafKen	ScafNA-	TstrTan	0.0270505	9.77692	2.3e-16	1.5668e+06	33368.2	31610.5
ScafKen	ScafNA-	TstrZam	0.0255534	9.40168	2.3e-16	1.55716e+06	33016.6	31371.3
ScafKen	ScafNA-	TstrZim	0.0263896	9.54151	2.3e-16	1.56273e+06	33192.6	31485.8
TderCam	TbuxEth	ScafKen	0.0513652	19.8941	2.3e-16	1.43122e+06	657753	593483
TderCha	TbuxEth	ScafKen	0.0535481	20.6167	2.3e-16	1.43745e+06	664110	596602
TderSSu	TbuxEth	ScafKen	0.0510655	19.8148	2.3e-16	1.44312e+06	662828	598421
TderUga	TbuxEth	ScafKen	0.0521605	20.2211	2.3e-16	1.44045e+06	663421	597644
TbuxEth	ScafKen	TimbAby	0.031177	22.9918	2.3e-16	901544	717018	673661
TbuxEth	ScafKen	TimbEth	0.0304577	22.7335	2.3e-16	880043	700347	658946
TbuxEth	ScafKen	TimbKen	0.0308801	23.1599	2.3e-16	898875	715871	672983
TbuxEth	ScafKen	TimbSom	0.0314314	23.2047	2.3e-16	900639	717090	673386
TbuxEth	ScafKen	TimbTan	0.0315654	23.0475	2.3e-16	901263	717254	673359
TbuxEth	ScafKen	TimbUga	0.0321325	24.4517	2.3e-16	876100	695984	652649
ToryBot	TbuxEth	ScafKen	0.0515259	17.7435	2.3e-16	1.40024e+06	632183	570227
ToryEth	TbuxEth	ScafKen	0.050768	17.3526	2.3e-16	1.40698e+06	634084	572813
ToryKen	TbuxEth	ScafKen	0.0525015	18.1389	2.3e-16	1.3797e+06	623948	561700
ToryNam	TbuxEth	ScafKen	0.051577	17.5465	2.3e-16	1.40576e+06	634353	572127
ToryRSA	TbuxEth	ScafKen	0.0545622	17.9087	2.3e-16	1.31193e+06	593471	532059
ToryTan	TbuxEth	ScafKen	0.0522995	18.2568	2.3e-16	1.3992e+06	632354	569498
ToryZam	TbuxEth	ScafKen	0.051364	18.0678	2.3e-16	1.40438e+06	633808	571879
ToryZim	TbuxEth	ScafKen	0.0535909	18.4404	2.3e-16	1.36216e+06	619028	556054
TbuxEth	TscrGha	ScafKen	0.0606987	24.2251	2.3e-16	1.31394e+06	669134	592552
TspeBot	TbuxEth	ScafKen	0.0162588	8.19617	2.48174e-16	1.74533e+06	507283	491051
TspeCam	TbuxEth	ScafKen	0.0164359	8.67827	2.3e-16	1.75609e+06	510565	494053
TspeCon	TbuxEth	ScafKen	0.0156318	6.86145	6.81651e-12	1.75265e+06	509394	493714
TspeDRC	TbuxEth	ScafKen	0.0171009	9.01695	2.3e-16	1.75562e+06	510672	493499
TspeGha	TbuxEth	ScafKen	0.0150727	6.27927	3.40157e-10	1.74496e+06	506689	491641
TspeTan	TbuxEth	ScafKen	0.017008	8.95217	2.3e-16	1.74774e+06	508227	491228
TspeZam	TbuxEth	ScafKen	0.0178107	9.18063	2.3e-16	1.72901e+06	504630	486969
TstrBot	TbuxEth	ScafKen	0.0220541	11.3006	2.3e-16	1.29389e+06	622866	595986
TstrNA-	TbuxEth	ScafKen	0.0349166	17.7449	2.3e-16	1.27262e+06	629142	586689
TstrNam	TbuxEth	ScafKen	0.0226897	11.6533	2.3e-16	1.29215e+06	622848	595211
TstrRSA	TbuxEth	ScafKen	0.02292	11.2643	2.3e-16	1.28e+06	617423	589754
TstrTan	TbuxEth	ScafKen	0.0225154	11.3472	2.3e-16	1.29245e+06	622530	595115
TstrZam	TbuxEth	ScafKen	0.0235309	11.5243	2.3e-16	1.28056e+06	618466	590029
TstrZim	TbuxEth	ScafKen	0.0237026	11.8703	2.3e-16	1.28633e+06	620978	592222
TderCha	TderCam	ScafKen	0.0528152	14.7191	2.3e-16	2.78673e+06	30518.4	27456.5
TderCam	TderSSu	ScafKen	0.00094401	0.308055	0.75804	2.79402e+06	28473.8	28420.1
TderUga	TderCam	ScafKen	0.0243915	9.36413	2.3e-16	2.78835e+06	30788.8	29322.6
TderCam	ScafKen	TimbAby	0.0377712	18.5532	2.3e-16	856555	736925	683282
TderCam	ScafKen	TimbEth	0.0371279	18.2871	2.3e-16	836207	719350	667846
TderCam	ScafKen	TimbKen	0.0376467	18.4842	2.3e-16	853962	735727	682341
TderCam	ScafKen	TimbSom	0.0379028	18.5558	2.3e-16	855651	737027	683197
TderCam	ScafKen	TimbTan	0.0382619	18.372	2.3e-16	856343	737284	682944
TderCam	ScafKen	TimbUga	0.0386128	18.3106	2.3e-16	831774	714749	661604
TderCam	ToryBot	ScafKen	0.00435863	2.51393	0.0119394	2.26913e+06	279742	277314
TderCam	ToryEth	ScafKen	0.00569665	3.28238	0.00102934	2.27958e+06	281124	277939
TderCam	ToryKen	ScafKen	0.00385699	2.16444	0.0304303	2.23653e+06	275484	273367
TderCam	ToryNam	ScafKen	0.00424087	2.48898	0.0128111	2.27809e+06	281058	278684
TderCam	ToryRSA	ScafKen	0.00206526	1.02416	0.30576	2.12712e+06	261544	260466
TderCam	ToryTan	ScafKen	0.00279156	1.70184	0.0887862	2.26674e+06	279467	277911
TderCam	ToryZam	ScafKen	0.00438231	2.64224	0.00823604	2.27642e+06	280448	278000
TderCam	ToryZim	ScafKen	0.00152361	0.822212	0.410956	2.20501e+06	274698	273862
TderCam	TscrGha	ScafKen	0.101668	43.7982	2.3e-16	1.14496e+06	736787	600797
TderCam	TspeBot	ScafKen	0.0413196	22.9257	2.3e-16	1.45567e+06	608799	560485
TderCam	TspeCam	ScafKen	0.041155	20.5813	2.3e-16	1.46349e+06	613351	564862
TderCam	TspeCon	ScafKen	0.0419687	24.8629	2.3e-16	1.46359e+06	611965	562667
TderCam	TspeDRC	ScafKen	0.0405409	20.7839	2.3e-16	1.4627e+06	612646	564907
TderCam	TspeGha	ScafKen	0.042385	25.5339	2.3e-16	1.45733e+06	608959	559437
TderCam	TspeTan	ScafKen	0.0406117	20.0644	2.3e-16	1.45715e+06	610083	562464
TderCam	TspeZam	ScafKen	0.0396988	20.1766	2.3e-16	1.44069e+06	603253	557185
TderCam	TstrBot	ScafKen	0.0319651	18.7443	2.3e-16	1.35856e+06	609980	572191
TderCam	TstrNA-	ScafKen	0.0183061	10.5177	2.3e-16	1.33674e+06	599694	578133
TderCam	TstrNam	ScafKen	0.0313348	19.0454	2.3e-16	1.35655e+06	609088	572076
TderCam	TstrRSA	ScafKen	0.0311631	18.5922	2.3e-16	1.34337e+06	603197	566739
TderCam	TstrTan	ScafKen	0.0315416	19.0342	2.3e-16	1.35697e+06	608980	571738
TderCam	TstrZam	ScafKen	0.030359	18.3718	2.3e-16	1.34424e+06	603403	567846
TderCam	TstrZim	ScafKen	0.0301911	17.5796	2.3e-16	1.35043e+06	605754	570249
TderCha	TderSSu	ScafKen	0.0497067	20.951	2.3e-16	2.80147e+06	33149.6	30010.1
TderCha	TderUga	ScafKen	0.0240098	6.71563	1.8725e-11	2.7959e+06	33967.8	32374.9
TderCha	ScafKen	TimbAby	0.0384254	18.7556	2.3e-16	860345	742879	687901
TderCha	ScafKen	TimbEth	0.0379001	18.5516	2.3e-16	839940	725208	672244
TderCha	ScafKen	TimbKen	0.0383827	18.7239	2.3e-16	857746	741732	686898
TderCha	ScafKen	TimbSom	0.0386469	18.7976	2.3e-16	859482	743045	687749
TderCha	ScafKen	TimbTan	0.0390302	18.6888	2.3e-16	860161	743303	687460
TderCha	ScafKen	TimbUga	0.039304	18.6034	2.3e-16	835540	720627	666122
TderCha	ToryBot	ScafKen	0.00992808	5.94308	2.79713e-09	2.27575e+06	285303	279694
TderCha	ToryEth	ScafKen	0.0113738	6.65344	2.86314e-11	2.28617e+06	286702	280254
TderCha	ToryKen	ScafKen	0.00948222	5.45113	5.00498e-08	2.24289e+06	280952	275674
TderCha	ToryNam	ScafKen	0.00983022	5.92473	3.12807e-09	2.28476e+06	286553	280974
TderCha	ToryRSA	ScafKen	0.00752163	3.82759	0.000129404	2.13289e+06	266650	262668
TderCha	ToryTan	ScafKen	0.0084467	5.30028	1.15625e-07	2.27336e+06	285000	280226
TderCha	ToryZam	ScafKen	0.010002	6.42818	1.29138e-10	2.28315e+06	285983	280319
TderCha	ToryZim	ScafKen	0.00715491	3.98862	6.64591e-05	2.2111e+06	280115	276135
TderCha	TscrGha	ScafKen	0.103536	44.2085	2.3e-16	1.14973e+06	743465	603958
TderCha	TspeBot	ScafKen	0.0437838	24.3072	2.3e-16	1.46193e+06	614959	563367
TderCha	TspeCam	ScafKen	0.0435992	21.9871	2.3e-16	1.46994e+06	619563	567795
TderCha	TspeCon	ScafKen	0.0443945	26.2665	2.3e-16	1.47004e+06	618121	565572
TderCha	TspeDRC	ScafKen	0.0429775	22.1025	2.3e-16	1.46913e+06	618826	567827
TderCha	TspeGha	ScafKen	0.0448277	27.2179	2.3e-16	1.46366e+06	615156	562370
TderCha	TspeTan	ScafKen	0.0430732	21.5386	2.3e-16	1.46341e+06	616348	565445
TderCha	TspeZam	ScafKen	0.0421167	21.3735	2.3e-16	1.44707e+06	609351	560097
TderCha	TstrBot	ScafKen	0.0343466	20.4269	2.3e-16	1.36529e+06	616197	575275
TderCha	TstrNA-	ScafKen	0.0206689	12.1213	2.3e-16	1.3433e+06	605797	581262
TderCha	TstrNam	ScafKen	0.0337066	20.8432	2.3e-16	1.36332e+06	615267	575142
TderCha	TstrRSA	ScafKen	0.033526	20.4919	2.3e-16	1.35022e+06	609324	569793
TderCha	TstrTan	ScafKen	0.0339006	21.0087	2.3e-16	1.36365e+06	615228	574883
TderCha	TstrZam	ScafKen	0.0327305	20.2045	2.3e-16	1.35095e+06	609527	570891
TderCha	TstrZim	ScafKen	0.032532	19.4244	2.3e-16	1.35711e+06	611932	573371
TderUga	TderSSu	ScafKen	0.0275097	8.22431	2.3e-16	2.80986e+06	28886.1	27339.4
TderSSu	ScafKen	TimbAby	0.0376721	18.108	2.3e-16	864117	742737	688807
TderSSu	ScafKen	TimbEth	0.03711	17.9263	2.3e-16	843577	725034	673147
TderSSu	ScafKen	TimbKen	0.0375887	18.1102	2.3e-16	861502	741558	687830
TderSSu	ScafKen	TimbSom	0.0378414	18.1597	2.3e-16	863200	742859	688687
TderSSu	ScafKen	TimbTan	0.0382153	17.9952	2.3e-16	863898	743123	688416
TderSSu	ScafKen	TimbUga	0.0385149	17.9708	2.3e-16	839212	720487	667046
TderSSu	ToryBot	ScafKen	0.00420687	2.62748	0.00860195	2.28411e+06	282658	280290
TderSSu	ToryEth	ScafKen	0.00557931	3.3825	0.000718294	2.29457e+06	284010	280859
TderSSu	ToryKen	ScafKen	0.00370625	2.23222	0.0256006	2.25106e+06	278381	276325
TderSSu	ToryNam	ScafKen	0.00407203	2.55069	0.010751	2.2931e+06	283929	281626
TderSSu	ToryRSA	ScafKen	0.00169804	0.893245	0.371726	2.14066e+06	264135	263239
TderSSu	ToryTan	ScafKen	0.00267453	1.75403	0.0794251	2.28162e+06	282376	280870
TderSSu	ToryZam	ScafKen	0.00429219	2.85593	0.0042911	2.29144e+06	283366	280944
TderSSu	ToryZim	ScafKen	0.00135686	0.771164	0.44061	2.21913e+06	277594	276841
TderSSu	TscrGha	ScafKen	0.101448	43.9876	2.3e-16	1.154e+06	742530	605750
TderSSu	TspeBot	ScafKen	0.0410745	23.1856	2.3e-16	1.46724e+06	613630	565210
TderSSu	TspeCam	ScafKen	0.0409009	20.918	2.3e-16	1.47532e+06	618183	569601
TderSSu	TspeCon	ScafKen	0.0416764	24.8412	2.3e-16	1.47542e+06	616776	567422
TderSSu	TspeDRC	ScafKen	0.0402718	21.0602	2.3e-16	1.47454e+06	617487	569677
TderSSu	TspeGha	ScafKen	0.0420879	25.6269	2.3e-16	1.46901e+06	613790	564210
TderSSu	TspeTan	ScafKen	0.0403176	20.4205	2.3e-16	1.46879e+06	614964	567298
TderSSu	TspeZam	ScafKen	0.0393859	20.4276	2.3e-16	1.45228e+06	608015	561935
TderSSu	TstrBot	ScafKen	0.0315462	18.5586	2.3e-16	1.36997e+06	615054	577436
TderSSu	TstrNA-	ScafKen	0.0178662	10.3769	2.3e-16	1.3479e+06	604665	583438
TderSSu	TstrNam	ScafKen	0.030916	18.8432	2.3e-16	1.36794e+06	614165	577329
TderSSu	TstrRSA	ScafKen	0.0307029	18.3997	2.3e-16	1.35477e+06	608184	571951
TderSSu	TstrTan	ScafKen	0.031108	18.8743	2.3e-16	1.36834e+06	614075	577023
TderSSu	TstrZam	ScafKen	0.0299335	18.119	2.3e-16	1.35556e+06	608417	573052
TderSSu	TstrZim	ScafKen	0.0297401	17.4689	2.3e-16	1.36175e+06	610805	575523
TderUga	ScafKen	TimbAby	0.0380278	18.969	2.3e-16	862365	742823	688397
TderUga	ScafKen	TimbEth	0.0375088	18.7404	2.3e-16	841865	725141	672710
TderUga	ScafKen	TimbKen	0.0379666	18.971	2.3e-16	859748	741641	687386
TderUga	ScafKen	TimbSom	0.038233	19.0715	2.3e-16	861457	742958	688239
TderUga	ScafKen	TimbTan	0.0386109	18.8864	2.3e-16	862144	743220	687961
TderUga	ScafKen	TimbUga	0.0389212	18.7958	2.3e-16	837475	720617	666624
TderUga	ToryBot	ScafKen	0.00686047	3.95201	7.74985e-05	2.28007e+06	283906	280037
TderUga	ToryEth	ScafKen	0.00824259	4.79134	1.65671e-06	2.29045e+06	285260	280596
TderUga	ToryKen	ScafKen	0.00641032	3.67734	0.000235675	2.24705e+06	279572	276010
TderUga	ToryNam	ScafKen	0.00671436	3.88607	0.000101879	2.28898e+06	285151	281347
TderUga	ToryRSA	ScafKen	0.00441365	2.15434	0.0312136	2.13689e+06	265313	262981
TderUga	ToryTan	ScafKen	0.00526367	3.24937	0.00115659	2.27765e+06	283592	280622
TderUga	ToryZam	ScafKen	0.00691663	4.27926	1.87515e-05	2.28743e+06	284577	280667
TderUga	ToryZim	ScafKen	0.00396861	2.15638	0.0310541	2.2154e+06	278681	276478
TderUga	TscrGha	ScafKen	0.102419	44.3293	2.3e-16	1.15206e+06	742957	604910
TderUga	TspeBot	ScafKen	0.0423213	23.1658	2.3e-16	1.46475e+06	614304	564418
TderUga	TspeCam	ScafKen	0.0421772	21.0337	2.3e-16	1.47279e+06	618884	568791
TderUga	TspeCon	ScafKen	0.0429329	25.2049	2.3e-16	1.47292e+06	617432	566599
TderUga	TspeDRC	ScafKen	0.0415263	21.1661	2.3e-16	1.472e+06	618177	568883
TderUga	TspeGha	ScafKen	0.0433285	26.1951	2.3e-16	1.46645e+06	614414	563382
TderUga	TspeTan	ScafKen	0.0416138	20.5759	2.3e-16	1.46635e+06	615647	566455
TderUga	TspeZam	ScafKen	0.0406843	20.5292	2.3e-16	1.4498e+06	608691	561099
TderUga	TstrBot	ScafKen	0.0328667	19.2801	2.3e-16	1.3677e+06	615496	576325
TderUga	TstrNA-	ScafKen	0.0191858	11.004	2.3e-16	1.34571e+06	605086	582305
TderUga	TstrNam	ScafKen	0.0322349	19.6019	2.3e-16	1.36571e+06	614575	576190
TderUga	TstrRSA	ScafKen	0.0320084	19.0272	2.3e-16	1.35254e+06	608565	570815
TderUga	TstrTan	ScafKen	0.0324196	19.6021	2.3e-16	1.36605e+06	614501	575908
TderUga	TstrZam	ScafKen	0.031251	18.7926	2.3e-16	1.35336e+06	608829	571929
TderUga	TstrZim	ScafKen	0.0310506	18.1423	2.3e-16	1.35952e+06	611210	574396
TimbAby	TimbEth	ScafKen	0.0175001	6.35296	2.11207e-10	1.2751e+06	33365.4	32217.7
TimbAby	TimbKen	ScafKen	0.0215063	6.40479	1.5058e-10	1.30151e+06	32145.3	30791.8
TimbAby	TimbSom	ScafKen	0.01692	8.42744	2.3e-16	1.30404e+06	31076.3	30042.2
TimbAby	TimbTan	ScafKen	0.0097436	2.5736	0.0100647	1.30417e+06	31376.6	30771
TimbUga	TimbAby	ScafKen	0.00298161	0.894221	0.371204	1.26856e+06	32559.7	32366.1
ToryBot	ScafKen	TimbAby	0.0189425	8.50267	2.3e-16	834437	711726	685263
ToryEth	ScafKen	TimbAby	0.0187715	8.45737	2.3e-16	839108	714495	688165
ToryKen	ScafKen	TimbAby	0.0201253	9.14152	2.3e-16	822553	702973	675236
ToryNam	ScafKen	TimbAby	0.0189407	8.43867	2.3e-16	837946	714423	687863
ToryRSA	ScafKen	TimbAby	0.021578	9.53473	2.3e-16	779376	669502	641220
ToryTan	ScafKen	TimbAby	0.0188665	8.49514	2.3e-16	833690	711844	685482
ToryZam	ScafKen	TimbAby	0.0192364	8.56909	2.3e-16	837521	713982	687031
ToryZim	ScafKen	TimbAby	0.0206451	9.52627	2.3e-16	812803	696286	668117
TscrGha	ScafKen	TimbAby	0.0275223	20.5024	2.3e-16	900701	654670	619599
TspeBot	ScafKen	TimbAby	0.0275391	17.8512	2.3e-16	871501	702334	664687
TspeCam	ScafKen	TimbAby	0.0290971	17.5931	2.3e-16	877794	707468	667461
TspeCon	ScafKen	TimbAby	0.0282559	17.3972	2.3e-16	876440	705535	666759
TspeDRC	ScafKen	TimbAby	0.0293542	17.8679	2.3e-16	876862	707420	667073
TspeGha	ScafKen	TimbAby	0.0271936	17.3958	2.3e-16	871965	701496	664354
TspeTan	ScafKen	TimbAby	0.0280714	17.2306	2.3e-16	872768	703986	665541
TspeZam	ScafKen	TimbAby	0.0279939	17.6742	2.3e-16	862753	697411	659428
TstrBot	ScafKen	TimbAby	0.0238684	17.138	2.3e-16	848998	689668	657513
TstrNA-	ScafKen	TimbAby	0.0309004	22.5277	2.3e-16	833377	692120	650628
TstrNam	ScafKen	TimbAby	0.0243512	17.5711	2.3e-16	847730	689433	656654
TstrRSA	ScafKen	TimbAby	0.0235814	16.3827	2.3e-16	839369	682856	651392
TstrTan	ScafKen	TimbAby	0.0239454	17.3825	2.3e-16	847654	689126	656895
TstrZam	ScafKen	TimbAby	0.0228024	16.7195	2.3e-16	839056	683467	652993
TstrZim	ScafKen	TimbAby	0.0237837	16.7515	2.3e-16	843005	686688	654783
TimbEth	TimbKen	ScafKen	0.00285853	0.869027	0.384832	1.27412e+06	32042.5	31859.8
TimbSom	TimbEth	ScafKen	0.00183714	0.698533	0.484844	1.27646e+06	31219.9	31105.4
TimbTan	TimbEth	ScafKen	0.00796675	2.29239	0.0218833	1.27698e+06	31601.4	31101.9
TimbUga	TimbEth	ScafKen	0.0206037	7.09804	1.26536e-12	1.24561e+06	30453.8	29224.2
ToryBot	ScafKen	TimbEth	0.0181511	8.16084	3.32742e-16	814541	694554	669790
ToryEth	ScafKen	TimbEth	0.0179658	8.10467	5.28874e-16	819079	697234	672623
ToryKen	ScafKen	TimbEth	0.0194149	8.81245	2.3e-16	802890	686115	659981
ToryNam	ScafKen	TimbEth	0.0180998	8.11559	4.83446e-16	817924	697126	672339
ToryRSA	ScafKen	TimbEth	0.020725	9.22608	2.3e-16	760686	653321	626791
ToryTan	ScafKen	TimbEth	0.0181469	8.1598	3.35561e-16	813784	694694	669930
ToryZam	ScafKen	TimbEth	0.0185165	8.2151	2.3e-16	817526	696795	671459
ToryZim	ScafKen	TimbEth	0.0198436	9.12323	2.3e-16	793497	679596	653150
TscrGha	ScafKen	TimbEth	0.0274618	19.7628	2.3e-16	879882	640184	605963
TspeBot	ScafKen	TimbEth	0.0259635	16.7041	2.3e-16	850398	685575	650876
TspeCam	ScafKen	TimbEth	0.0276865	16.8545	2.3e-16	856586	690672	653457
TspeCon	ScafKen	TimbEth	0.0269396	16.6624	2.3e-16	855338	688930	652785
TspeDRC	ScafKen	TimbEth	0.0279859	17.2217	2.3e-16	855697	690657	653053
