P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ScafNA-	ScafKen	TbuxEth	0.00454937	2.78925	0.00528308	1.55854e+06	35283.7	34964.1
ScafKen	ScafNA-	TderCam	0.0180177	10.1016	2.3e-16	1.62503e+06	35353.1	34101.7
ScafKen	ScafNA-	TderCha	0.0186229	10.3758	2.3e-16	1.62187e+06	35239.3	33950.8
ScafKen	ScafNA-	TderSSu	0.0177036	10.2117	2.3e-16	1.62432e+06	35360.3	34130
ScafKen	ScafNA-	TderUga	0.0184311	10.9489	2.3e-16	1.62265e+06	35289.1	34011.8
ScafKen	ScafNA-	TimbAby	0.0199661	10.5967	2.3e-16	1.74618e+06	33219.5	31918.9
ScafKen	ScafNA-	TimbEth	0.019603	10.6967	2.3e-16	1.74367e+06	33189.9	31913.7
ScafKen	ScafNA-	TimbKen	0.0196839	10.5356	2.3e-16	1.74396e+06	33211.3	31929.1
ScafKen	ScafNA-	TimbSom	0.0201087	10.8101	2.3e-16	1.7461e+06	33254.3	31943.3
ScafKen	ScafNA-	TimbTan	0.020033	10.6943	2.3e-16	1.74462e+06	33230.8	31925.5
ScafKen	ScafNA-	TimbUga	0.020105	10.7061	2.3e-16	1.745e+06	33250.7	31940
ScafKen	ScafNA-	ToryBot1	0.0286029	16.0427	2.3e-16	1.62411e+06	34823.5	32886.8
ScafKen	ScafNA-	ToryBot2	0.0288492	16.0444	2.3e-16	1.62267e+06	34844.4	32890.4
ScafKen	ScafNA-	ToryEth1	0.028354	15.0752	2.3e-16	1.62188e+06	34861.9	32939.5
ScafKen	ScafNA-	ToryEth2	0.0283629	15.7866	2.3e-16	1.62217e+06	34818.8	32898.1
ScafKen	ScafNA-	ToryKen1	0.0283215	15.3041	2.3e-16	1.59543e+06	34111.1	32232.2
ScafKen	ScafNA-	ToryKen2	0.0301059	16.2544	2.3e-16	1.41243e+06	30343.9	28570.3
ScafKen	ScafNA-	ToryNam1	0.0287687	15.6302	2.3e-16	1.62224e+06	34857.5	32908
ScafKen	ScafNA-	ToryNam2	0.0287744	16.3676	2.3e-16	1.62245e+06	34853.3	32903.6
