P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ScafKen	ScafNA-	TbuxEth	0.0007336	0.262706	0.792778	1.11834e+06	29158.5	29115.8
ScafKen	ScafNA-	TderCam	0.0243024	9.63938	2.3e-16	1.17437e+06	29324.6	27933.1
ScafKen	ScafNA-	TderCha	0.0249867	10.1237	2.3e-16	1.18199e+06	29489.1	28051.4
ScafKen	ScafNA-	TderSSu	0.0237166	9.70961	2.3e-16	1.18317e+06	29594.8	28223.5
ScafKen	ScafNA-	TderUga	0.0250169	10.0536	2.3e-16	1.18267e+06	29562	28119
ScafKen	ScafNA-	TimbAby	0.0373105	12.534	2.3e-16	1.32642e+06	27795.1	25795.6
ScafKen	ScafNA-	TimbEth	0.0354214	11.0259	2.3e-16	1.29709e+06	27159.8	25301.5
ScafKen	ScafNA-	TimbKen	0.035637	12.0951	2.3e-16	1.32399e+06	27705.8	25799
ScafKen	ScafNA-	TimbSom	0.0356815	12.419	2.3e-16	1.32577e+06	27781.2	25867
ScafKen	ScafNA-	TimbTan	0.0365461	12.6289	2.3e-16	1.32652e+06	27788.4	25828.9
ScafKen	ScafNA-	TimbUga	0.0380592	11.9762	2.3e-16	1.29222e+06	27080.5	25094.8
ScafKen	ScafNA-	ToryBot	0.0344841	12.5784	2.3e-16	1.20495e+06	28963.9	27032.9
ScafKen	ScafNA-	ToryEth	0.0350767	12.1737	2.3e-16	1.20874e+06	29143.8	27168.5
ScafKen	ScafNA-	ToryKen	0.0362028	12.8656	2.3e-16	1.19117e+06	28672.2	26668.8
ScafKen	ScafNA-	ToryNam	0.0343594	11.0799	2.3e-16	1.20882e+06	29103.1	27169.6
ScafKen	ScafNA-	ToryRSA	0.0358188	12.3157	2.3e-16	1.13593e+06	27259.1	25373.9
ScafKen	ScafNA-	ToryTan	0.0354205	12.6095	2.3e-16	1.20523e+06	28998.4	27014.4
ScafKen	ScafNA-	ToryZam	0.0351799	11.2613	2.3e-16	1.20789e+06	29072.2	27096.2
ScafKen	ScafNA-	ToryZim	0.0355549	11.5234	2.3e-16	1.18034e+06	28459.2	26505
ScafNA-	ScafKen	TscrGha	0.0192446	6.02969	1.64273e-09	998299	28725.6	27640.9
ScafKen	ScafNA-	TspeBot	0.0193522	6.99727	2.61005e-12	1.1573e+06	28937.6	27838.9
ScafKen	ScafNA-	TspeCam	0.0198552	6.34269	2.25788e-10	1.16223e+06	29194.4	28057.6
ScafKen	ScafNA-	TspeCon	0.0192509	6.78225	1.18315e-11	1.16068e+06	29179.6	28077.4
ScafKen	ScafNA-	TspeDRC	0.0197853	6.42846	1.28903e-10	1.16209e+06	29186	28053.5
ScafKen	ScafNA-	TspeGha	0.0173228	6.27266	3.54927e-10	1.15682e+06	28849.8	27867.2
ScafKen	ScafNA-	TspeTan	0.0186579	6.82635	8.70995e-12	1.15937e+06	28977.1	27915.6
ScafKen	ScafNA-	TspeZam	0.0198506	7.25973	3.87853e-13	1.15026e+06	28732.2	27613.8
ScafKen	ScafNA-	TstrBot	0.024356	8.90888	2.3e-16	1.18635e+06	28662.2	27299.2
ScafKen	ScafNA-	TstrNA-	0.0221748	8.2241	2.3e-16	1.19024e+06	28199.4	26975.9
ScafKen	ScafNA-	TstrNam	0.0241964	9.04837	2.3e-16	1.186e+06	28587.6	27236.9
ScafKen	ScafNA-	TstrRSA	0.0247802	8.62665	2.3e-16	1.17714e+06	28312.5	26943.2
ScafKen	ScafNA-	TstrTan	0.0253676	9.45998	2.3e-16	1.18576e+06	28627.8	27211.2
ScafKen	ScafNA-	TstrZam	0.0224364	8.24138	2.3e-16	1.17902e+06	28344.8	27100.8
ScafKen	ScafNA-	TstrZim	0.0240541	8.60847	2.3e-16	1.18296e+06	28444	27107.8
TderCam	TbuxEth	ScafKen	0.0634946	22.6642	2.3e-16	1.12447e+06	485600	427616
TderCha	TbuxEth	ScafKen	0.0657018	23.6875	2.3e-16	1.12918e+06	490307	429851
TderSSu	TbuxEth	ScafKen	0.063296	22.752	2.3e-16	1.13388e+06	489500	431222
TderUga	TbuxEth	ScafKen	0.0643539	23.376	2.3e-16	1.13167e+06	489960	430711
TbuxEth	ScafKen	TimbAby	0.0369893	22.4167	2.3e-16	720361	514019	477349
TbuxEth	ScafKen	TimbEth	0.0361264	21.835	2.3e-16	702484	502187	467168
TbuxEth	ScafKen	TimbKen	0.0366084	22.4843	2.3e-16	718328	513183	476937
TbuxEth	ScafKen	TimbSom	0.0372641	22.6251	2.3e-16	719643	514104	477166
TbuxEth	ScafKen	TimbTan	0.0373799	22.1216	2.3e-16	720270	514129	477078
TbuxEth	ScafKen	TimbUga	0.0386002	24.1375	2.3e-16	699279	500917	463684
ToryBot	TbuxEth	ScafKen	0.0939296	31.9866	2.3e-16	1.09754e+06	491602	407180
ToryEth	TbuxEth	ScafKen	0.092951	31.5701	2.3e-16	1.1027e+06	492932	409089
ToryKen	TbuxEth	ScafKen	0.0951178	32.4693	2.3e-16	1.08147e+06	485437	401111
ToryNam	TbuxEth	ScafKen	0.0937691	31.8081	2.3e-16	1.10181e+06	493156	408599
ToryRSA	TbuxEth	ScafKen	0.0981045	31.5593	2.3e-16	1.02901e+06	462215	379627
ToryTan	TbuxEth	ScafKen	0.0950271	32.8999	2.3e-16	1.09659e+06	491825	406464
ToryZam	TbuxEth	ScafKen	0.0937362	32.7301	2.3e-16	1.10079e+06	492709	408256
ToryZim	TbuxEth	ScafKen	0.0967365	33.4471	2.3e-16	1.0675e+06	481822	396825
TbuxEth	TscrGha	ScafKen	0.0736556	25.4843	2.3e-16	1.03613e+06	498141	429793
TspeBot	TbuxEth	ScafKen	0.0493294	22.0706	2.3e-16	1.39296e+06	387249	350840
TspeCam	TbuxEth	ScafKen	0.0490055	23.0977	2.3e-16	1.40172e+06	389681	353272
TspeCon	TbuxEth	ScafKen	0.048516	20.9541	2.3e-16	1.39878e+06	388987	352990
TspeDRC	TbuxEth	ScafKen	0.0495964	23.5515	2.3e-16	1.40139e+06	389672	352846
TspeGha	TbuxEth	ScafKen	0.0481315	19.5359	2.3e-16	1.39251e+06	386869	351338
TspeTan	TbuxEth	ScafKen	0.0504348	23.8174	2.3e-16	1.39506e+06	388169	350894
TspeZam	TbuxEth	ScafKen	0.0505915	22.6695	2.3e-16	1.38016e+06	385217	348117
TstrBot	TbuxEth	ScafKen	0.0670872	29.2298	2.3e-16	1.00646e+06	488425	427011
TstrNA-	TbuxEth	ScafKen	0.0826666	36.6979	2.3e-16	989224	495434	419776
TstrNam	TbuxEth	ScafKen	0.0678876	29.9446	2.3e-16	1.00498e+06	488544	426428
TstrRSA	TbuxEth	ScafKen	0.0679302	29.3186	2.3e-16	995825	484326	422711
TstrTan	TbuxEth	ScafKen	0.0677248	30.0849	2.3e-16	1.00524e+06	488331	426382
TstrZam	TbuxEth	ScafKen	0.0690325	29.507	2.3e-16	995904	485312	422634
TstrZim	TbuxEth	ScafKen	0.0690915	29.7934	2.3e-16	1.00042e+06	487233	424257
TderCha	TderCam	ScafKen	0.0396767	10.229	2.3e-16	2.218e+06	26544.4	24518.4
TderCam	TderSSu	ScafKen	0.00537214	1.85556	0.0635159	2.22444e+06	25054.1	24786.4
TderUga	TderCam	ScafKen	0.0173382	5.89199	3.81562e-09	2.21973e+06	26506.9	25603.4
TderCam	ScafKen	TimbAby	0.0490115	18.019	2.3e-16	680811	532682	482907
TderCam	ScafKen	TimbEth	0.0482759	17.8011	2.3e-16	663834	520165	472255
TderCam	ScafKen	TimbKen	0.0487817	17.8327	2.3e-16	678847	531798	482328
TderCam	ScafKen	TimbSom	0.0490587	17.8818	2.3e-16	680066	532765	482936
