0.677941,0.694344,0.676801,0.687365,0.675375,0.68387,0.706442,0.661939,0.701297,0.683812,0.663438,0.694104,0.699074,0.688612,0.699155,0.673623,0.657629,0.673349,0.680848,0.676169	0.67403,0.686259,0.677836,0.688937,0.678016,0.683299,0.700479,0.674761,0.701247,0.686563,0.664547,0.695408,0.698118,0.691935,0.700722,0.676578,0.656823,0.67663,0.689214,0.675962	0.00720143,0.0154439,-0.00191163,-0.00298598,-0.00487175,0.00107034,0.0118058,-0.0231718,9.74055e-05,-0.0051844,-0.00198382,-0.00252084,0.00186667,-0.00634726,-0.00307132,-0.00542928,0.0014189,-0.0060264,-0.0157616,0.000382452
0.218326,0.210151,0.193127,0.207788,0.210467,0.212799,0.199279,0.203656,0.183881,0.212801,0.204511,0.217194,0.212051,0.192442,0.207094,0.196635,0.190402,0.193191,0.213259,0.218997	0.167514,0.158761,0.131874,0.137757,0.145983,0.14508,0.14006,0.141443,0.127644,0.151486,0.129678,0.158995,0.16027,0.124949,0.145835,0.132392,0.130418,0.126349,0.162833,0.150676	0.0527404,0.0531639,0.0628535,0.0720947,0.0665284,0.0698761,0.0609196,0.0640586,0.0575891,0.0633579,0.0768719,0.0602805,0.0536026,0.0691553,0.0631675,0.0659599,0.0615115,0.0685149,0.0522409,0.0706525
-0.0118617,0.00403715,0.0149679,0.0122133,-0.00185137,0.0184679,0.00734882,0.00949261,0.00568613,0.00376783,0.0142476,-3.54649e-05,0.00359088,0.00134098,-0.00883404,0.00967851,0.0131777,0.0100641,0.00144803,0.0145122	-0.299472,-0.340854,-0.37198,-0.385219,-0.382403,-0.377771,-0.359813,-0.377232,-0.404817,-0.405452,-0.412724,-0.367853,-0.359688,-0.387248,-0.381888,-0.384654,-0.396639,-0.420399,-0.399702,-0.413605	0.288636,0.344417,0.384805,0.395571,0.380821,0.393494,0.366193,0.385345,0.409561,0.408596,0.424475,0.367823,0.36281,0.388387,0.374317,0.39287,0.407686,0.42865,0.400918,0.425563
0.0307672,0.0164797,0.00539295,0.00153705,-0.00380772,-0.00866769,0.00205559,0.00512626,-0.0404485,0.00702933,-0.0167679,0.0265622,0.00749202,0.000905453,0.00486261,-0.000119755,-0.0107317,-0.00677639,-0.011572,-0.00197748	0.179498,0.168054,0.15908,0.17007,0.154416,0.155622,0.163144,0.16465,0.128469,0.180125,0.14371,0.195536,0.170172,0.170499,0.174745,0.165674,0.16897,0.157448,0.167935,0.174877	-0.149557,-0.151995,-0.153819,-0.168577,-0.158131,-0.164068,-0.161142,-0.159659,-0.168044,-0.173315,-0.160092,-0.169856,-0.162887,-0.169619,-0.170027,-0.16579,-0.179377,-0.16405,-0.179159,-0.176794
-0.119377,-0.112995,-0.0926927,-0.0846538,-0.0936617,-0.0998858,-0.101036,-0.0992957,-0.0869011,-0.116012,-0.0884332,-0.130088,-0.0960096,-0.102172,-0.10643,-0.108311,-0.0995625,-0.100788,-0.10873,-0.0973734	-0.221859,-0.270877,-0.306721,-0.321462,-0.321738,-0.322922,-0.304968,-0.319339,-0.351309,-0.339712,-0.359764,-0.308422,-0.285976,-0.317048,-0.300757,-0.330833,-0.338616,-0.361147,-0.332397,-0.343263	0.105269,0.162866,0.220291,0.243433,0.235163,0.23047,0.210415,0.227249,0.272734,0.232877,0.280247,0.185788,0.195329,0.222069,0.200753,0.230792,0.247394,0.270193,0.232054,0.254393
0.0654508,0.0631746,0.0404462,0.057379,0.0415532,0.0419742,0.0356749,0.0377597,-0.0193879,0.0436195,0.023663,0.0523416,0.0436171,0.0478464,0.0349212,0.0473886,0.0072956,0.0311048,0.0205278,0.0240304	0.217191,0.206942,0.199694,0.223706,0.206604,0.208361,0.201106,0.203274,0.155598,0.220695,0.193669,0.226877,0.212718,0.218463,0.205111,0.207277,0.192945,0.19717,0.198802,0.200331	-0.153928,-0.145672,-0.160545,-0.16849,-0.16648,-0.167855,-0.166626,-0.166794,-0.17446,-0.178797,-0.170789,-0.176633,-0.170684,-0.172419,-0.171418,-0.161474,-0.185911,-0.16709,-0.179005,-0.177153
0.188623,0.180752,0.163761,0.17921,0.188916,0.18096,0.165053,0.179722,0.156411,0.184077,0.17831,0.198166,0.190065,0.170815,0.179599,0.166513,0.163596,0.166559,0.183765,0.191397	0.142897,0.137928,0.104062,0.110477,0.124231,0.116122,0.113328,0.108584,0.102228,0.122558,0.105115,0.140512,0.140684,0.102392,0.118956,0.102153,0.106149,0.099331,0.127702,0.125717	0.0469928,0.0439194,0.0607342,0.0701219,0.0662404,0.0662298,0.0527108,0.0725542,0.0550633,0.0629393,0.0745929,0.0593052,0.0507376,0.0696407,0.0619672,0.0654736,0.0584622,0.0683589,0.0574105,0.0672991
-0.029828,-0.0263417,-0.00629143,-0.0141874,-0.0211698,-0.00816032,-0.0146381,-0.0110472,-0.0174797,-0.022176,-0.011626,-0.0241461,-0.0127667,-0.0153786,-0.0282704,-0.0172856,-0.0132584,-0.0133041,-0.0208535,-0.0083898	-0.304174,-0.35041,-0.379187,-0.395191,-0.389374,-0.386829,-0.365442,-0.389123,-0.411314,-0.414821,-0.421236,-0.37806,-0.363967,-0.393181,-0.388746,-0.396574,-0.405835,-0.429477,-0.411124,-0.419792	0.276857,0.327087,0.373788,0.383152,0.371264,0.379867,0.352691,0.379708,0.396686,0.396291,0.411625,0.357174,0.35284,0.380101,0.364481,0.381907,0.394701,0.418564,0.393646,0.412857
0.0342119,0.0169357,0.00235823,0.00164366,0.00265197,-0.00441862,0.00306409,0.0135458,-0.0392343,0.0107659,-0.018871,0.0279746,0.0154911,0.00538686,0.00482341,0.0100246,-0.00668811,-0.0103369,-0.00629632,0.00265426	0.179988,0.168737,0.148679,0.162419,0.153224,0.153768,0.162773,0.157354,0.124323,0.175192,0.133883,0.189866,0.173585,0.166897,0.167072,0.16842,0.167558,0.144429,0.159806,0.172876	-0.14668,-0.152236,-0.146372,-0.160818,-0.150633,-0.158079,-0.159789,-0.144116,-0.162763,-0.164737,-0.152369,-0.162756,-0.15852,-0.161656,-0.16238,-0.158663,-0.174051,-0.154536,-0.165935,-0.1703
-0.111547,-0.119331,-0.0917299,-0.0874627,-0.0932497,-0.101176,-0.102336,-0.0962079,-0.0877275,-0.112793,-0.0877337,-0.12428,-0.0935522,-0.102731,-0.102954,-0.109635,-0.0973305,-0.102583,-0.106233,-0.09576	-0.208874,-0.267109,-0.300019,-0.317259,-0.315652,-0.316456,-0.297364,-0.317199,-0.344711,-0.33195,-0.351805,-0.299266,-0.277827,-0.313124,-0.293406,-0.3271,-0.329512,-0.356465,-0.327704,-0.334655	0.0996487,0.152643,0.214184,0.236355,0.229147,0.222401,0.201149,0.227948,0.264997,0.227682,0.272481,0.181745,0.189192,0.217385,0.196384,0.225554,0.239875,0.263518,0.229459,0.246805
