P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
eland	giant_eland	bushbuck	0.00199894	1.06809	0.285481	0.000760089	1.65864e+06	312543	311296
greater_kudu	eland	bushbuck	0.0632233	40.6378	2.3e-16	0.0475148	920244	688992	607051
bushbuck	eland	lesser_kudu	0.00588452	3.30485	0.000950267	0.00520414	1.24569e+06	557726	551201
bushbuck	mountain_nyala	eland	0.165872	52.7587	2.3e-16	0.131853	855347	856572	612839
eland	bushbuck	nyala	0.102505	40.3003	2.3e-16	0.0876641	1.12827e+06	717151	583797
bushbuck	sitatunga	eland	0.205156	60.5068	2.3e-16	0.159579	806133	868820	573019
greater_kudu	giant_eland	bushbuck	0.0614708	32.455	2.3e-16	0.048252	909055	717465	634367
giant_eland	bushbuck	lesser_kudu	0.0169835	11.15	2.3e-16	0.0151974	1.27337e+06	578532	559209
bushbuck	mountain_nyala	giant_eland	0.161837	46.7289	2.3e-16	0.118779	881892	888364	640877
giant_eland	bushbuck	nyala	0.101564	43.8329	2.3e-16	0.0900999	1.15606e+06	744226	606991
bushbuck	sitatunga	giant_eland	0.199776	55.6813	2.3e-16	0.142732	828786	895468	597258
bushbuck	greater_kudu	lesser_kudu	0.00199886	1.45426	0.145874	0.00175833	1.16269e+06	552531	550327
bushbuck	mountain_nyala	greater_kudu	0.166957	38.4748	2.3e-16	0.146697	897557	803336	573469
greater_kudu	bushbuck	nyala	0.0759786	37.3798	2.3e-16	0.067081	1.03563e+06	706483	606708
bushbuck	sitatunga	greater_kudu	0.126644	41.8195	2.3e-16	0.106197	890362	742238	575371
mountain_nyala	bushbuck	lesser_kudu	0.00661225	4.15963	3.18758e-05	0.00552289	1.46366e+06	528546	521602
lesser_kudu	nyala	bushbuck	0.184199	64.4159	2.3e-16	0.120473	656053	901068	620750
sitatunga	bushbuck	lesser_kudu	0.00510211	3.92204	8.78007e-05	0.00410073	1.43614e+06	508547	503384
mountain_nyala	bushbuck	nyala	0.0602896	25.7202	2.3e-16	0.0524288	1.32457e+06	673369	596791
sitatunga	mountain_nyala	bushbuck	0.00838474	6.55976	5.38944e-11	0.00709863	1.05064e+06	600106	590127
sitatunga	bushbuck	nyala	0.0750113	37.8995	2.3e-16	0.0615166	1.29457e+06	651839	560872
giant_eland	eland	greater_kudu	0.0601265	28.6633	2.3e-16	0.0301291	1.55417e+06	365740	324253
giant_eland	eland	lesser_kudu	0.0539644	30.6412	2.3e-16	0.020824	2.45054e+06	275032	246868
eland	giant_eland	mountain_nyala	0.00965477	4.47976	7.47257e-06	0.00392776	1.52988e+06	365319	358332
giant_eland	eland	nyala	0.00649443	4.01561	5.92928e-05	0.00227977	2.30051e+06	285932	282242
eland	giant_eland	sitatunga	0.00689537	3.45398	0.000552386	0.00327689	1.47025e+06	355799	350926
greater_kudu	eland	lesser_kudu	0.00555948	2.51887	0.0117733	0.00427639	1.50313e+06	515047	509352
greater_kudu	eland	mountain_nyala	0.0679136	24.6165	2.3e-16	0.0550689	802653	816017	712229
eland	greater_kudu	nyala	0.0304252	14.8532	2.3e-16	0.0214575	1.38548e+06	587466	552774
greater_kudu	eland	sitatunga	0.152444	53.4608	2.3e-16	0.13265	791566	860717	633007
mountain_nyala	eland	lesser_kudu	0.0139891	7.29757	2.93009e-13	0.0112348	1.54327e+06	544515	529490
lesser_kudu	nyala	eland	0.0985602	41.6384	2.3e-16	0.0557924	716839	840710	689857
sitatunga	eland	lesser_kudu	0.0126877	7.24981	4.1737e-13	0.00962463	1.5718e+06	514343	501455
eland	mountain_nyala	nyala	0.0511275	19.638	2.3e-16	0.0385845	1.42112e+06	639516	577303
mountain_nyala	sitatunga	eland	0.0440253	17.289	2.3e-16	0.0324541	1.07983e+06	657981	602489
eland	sitatunga	nyala	0.0405279	19.532	2.3e-16	0.0285611	1.44817e+06	592867	546684
giant_eland	greater_kudu	lesser_kudu	0.0211648	10.57	2.3e-16	0.0165717	1.49154e+06	540613	518203
