P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ToryKen	ToryEth	ToryBot	0.00735998	5.25251	1.50036e-07	388379	326956	322179
ToryBot	ToryNam	ToryEth	0.0107934	10.6392	2.3e-16	387056	328863	321840
ToryBot	ToryRSA	ToryEth	0.000206637	0.128569	0.897698	388095	325487	325353
ToryTan	ToryEth	ToryBot	0.00198711	1.99535	0.0460051	376415	336257	334923
ToryBot	ToryZam	ToryEth	0.0263004	15.317	2.3e-16	370721	344639	326975
ToryZim	ToryBot	ToryEth	0.0109741	6.3982	1.57221e-10	374543	358112	350338
ToryBot	ToryEth	TstrBot	0.00424028	3.26293	0.00110268	4.91528e+06	192276	190653
ToryEth	ToryBot	TstrBot_0757	0.0207202	9.6077	2.3e-16	3.50854e+06	282956	271469
ToryBot	ToryEth	TstrNA-	0.00417016	3.29164	0.000996067	4.94155e+06	191243	189654
ToryBot	ToryEth	TstrNam	0.00429565	3.37741	0.000731724	4.914e+06	192184	190540
ToryBot	ToryEth	TstrRSA	0.00413185	3.10733	0.00188783	4.91145e+06	192146	190565
ToryBot	ToryEth	TstrTan	0.00429469	3.3112	0.000928978	4.91569e+06	192070	190428
ToryBot	ToryEth	TstrZam	0.00424019	3.23905	0.00119927	4.91026e+06	192287	190664
ToryBot	ToryEth	TstrZim	0.00432045	3.31785	0.000907117	4.91556e+06	192079	190426
ToryBot	ToryNam	ToryKen	0.0104987	10.183	2.3e-16	391473	328301	321480
ToryRSA	ToryBot	ToryKen	0.000396902	0.258107	0.796325	392602	325083	324825
ToryKen	ToryTan	ToryBot	0.00513228	4.98904	6.06801e-07	378544	337237	333793
ToryBot	ToryZam	ToryKen	0.0284278	17.2072	2.3e-16	374488	345040	325965
ToryZim	ToryBot	ToryKen	0.00484332	2.7158	0.00661165	377058	355850	352420
ToryBot	ToryKen	TstrBot	0.00539332	5.95192	2.65009e-09	4.91127e+06	193502	191426
ToryKen	ToryBot	TstrBot_0757	0.0193836	10.2585	2.3e-16	3.50503e+06	284220	273411
ToryBot	ToryKen	TstrNA-	0.00542365	5.86297	4.5466e-09	4.93754e+06	192494	190417
ToryBot	ToryKen	TstrNam	0.00548873	5.83238	5.46429e-09	4.90998e+06	193416	191305
ToryBot	ToryKen	TstrRSA	0.00545893	5.83902	5.25099e-09	4.9074e+06	193389	191289
ToryBot	ToryKen	TstrTan	0.00541631	6.08298	1.17969e-09	4.91168e+06	193282	191200
ToryBot	ToryKen	TstrZam	0.00555769	6.29756	3.0237e-10	4.90624e+06	193561	191422
ToryBot	ToryKen	TstrZim	0.00548897	5.95797	2.55386e-09	4.91154e+06	193294	191184
ToryRSA	ToryNam	ToryBot	0.00383175	3.17702	0.00148799	339438	324068	321594
ToryBot	ToryNam	ToryTan	0.00826582	9.14968	2.3e-16	389899	328740	323350
ToryBot	ToryNam	ToryZam	0.00992938	10.9421	2.3e-16	348237	333321	326767
ToryBot	ToryNam	ToryZim	0.00526078	5.3628	8.19426e-08	381414	336148	332630
ToryBot	ToryNam	TstrBot	0.00422559	6.63408	3.26525e-11	4.96613e+06	177784	176288
ToryBot	ToryNam	TstrBot_0757	0.00218738	1.97299	0.048497	3.54677e+06	257087	255965
ToryBot	ToryNam	TstrNA-	0.00417634	6.46288	1.02732e-10	4.99247e+06	176830	175359
ToryBot	ToryNam	TstrNam	0.00428217	6.86391	6.69987e-12	4.96485e+06	177697	176182
ToryBot	ToryNam	TstrRSA	0.00438721	6.96906	3.19076e-12	4.96225e+06	177693	176141
ToryBot	ToryNam	TstrTan	0.00425775	6.56468	5.21465e-11	4.96657e+06	177595	176089
ToryBot	ToryNam	TstrZam	0.00426464	6.51974	7.04272e-11	4.96111e+06	177808	176298
ToryBot	ToryNam	TstrZim	0.00422186	6.7158	1.87041e-11	4.96644e+06	177583	176090
ToryRSA	ToryBot	ToryTan	0.00329191	2.1725	0.0298182	391256	327180	325033
ToryRSA	ToryBot	ToryZam	0.0050196	3.27574	0.00105384	350566	331570	328258
ToryRSA	ToryBot	ToryZim	0.00276481	1.57157	0.116049	381729	335418	333568
ToryBot	ToryRSA	TstrBot	0.0070142	4.12653	3.68273e-05	4.96326e+06	178378	175893
ToryBot	ToryRSA	TstrBot_0757	0.000290794	0.151611	0.879494	3.54462e+06	256442	256293
ToryBot	ToryRSA	TstrNA-	0.00687903	4.00015	6.3302e-05	4.98962e+06	177402	174978
ToryBot	ToryRSA	TstrNam	0.00690636	4.14495	3.39889e-05	4.96202e+06	178265	175820
ToryBot	ToryRSA	TstrRSA	0.00711188	4.23458	2.28977e-05	4.95938e+06	178264	175746
ToryBot	ToryRSA	TstrTan	0.00693969	4.17296	3.00663e-05	4.96373e+06	178178	175722
ToryBot	ToryRSA	TstrZam	0.00695192	4.13275	3.58453e-05	4.95825e+06	178382	175919
ToryBot	ToryRSA	TstrZim	0.00702877	4.27063	1.94921e-05	4.96357e+06	178182	175695
ToryBot	ToryZam	ToryTan	0.0314451	22.0537	2.3e-16	371321	347425	326241
ToryBot	ToryZim	ToryTan	0.00320091	1.90983	0.056155	372391	356904	354627
ToryBot	ToryTan	TstrBot	0.00299158	3.78475	0.000153863	4.91466e+06	192515	191366
ToryTan	ToryBot	TstrBot_0757	0.012635	5.7683	8.00759e-09	3.50663e+06	282381	275334
ToryBot	ToryTan	TstrNA-	0.00295029	3.84746	0.000119351	4.94092e+06	191484	190357
ToryBot	ToryTan	TstrNam	0.0031274	3.99919	6.35584e-05	4.91337e+06	192447	191247
ToryBot	ToryTan	TstrRSA	0.00312586	3.97223	7.12025e-05	4.91079e+06	192435	191236
ToryBot	ToryTan	TstrTan	0.00300374	3.83959	0.000123242	4.91508e+06	192303	191151
ToryBot	ToryTan	TstrZam	0.00308527	3.95091	7.78549e-05	4.90963e+06	192555	191371
ToryBot	ToryTan	TstrZim	0.00309376	3.98143	6.85024e-05	4.91493e+06	192316	191129
ToryBot	ToryZam	ToryZim	0.0048364	3.28682	0.00101325	370649	346671	343334
ToryBot	ToryZam	TstrBot	0.00466745	6.17753	6.51131e-10	4.94993e+06	183260	181557
ToryBot	ToryZam	TstrBot_0757	0.00259706	1.95907	0.0501046	3.53336e+06	265405	264030
ToryBot	ToryZam	TstrNA-	0.00457327	5.94512	2.76252e-09	4.97626e+06	182272	180612
ToryBot	ToryZam	TstrNam	0.00479921	6.16412	7.08743e-10	4.94864e+06	183191	181441
ToryBot	ToryZam	TstrRSA	0.00485482	6.16178	7.19319e-10	4.94605e+06	183188	181417
ToryBot	ToryZam	TstrTan	0.00473344	6.20817	5.36046e-10	4.95035e+06	183072	181347
ToryBot	ToryZam	TstrZam	0.00497407	6.54904	5.79083e-11	4.94486e+06	183335	181520
ToryBot	ToryZam	TstrZim	0.00471849	6.23668	4.46967e-10	4.95022e+06	183061	181342
ToryBot	ToryZim	TstrBot	0.0112082	15.2766	2.3e-16	4.93062e+06	193862	189564
ToryBot	ToryZim	TstrBot_0757	0.0526163	20.1963	2.3e-16	3.51014e+06	297905	268123
ToryBot	ToryZim	TstrNA-	0.0108697	14.9562	2.3e-16	4.95692e+06	192731	188586
ToryBot	ToryZim	TstrNam	0.0112305	15.2248	2.3e-16	4.92935e+06	193766	189462
ToryBot	ToryZim	TstrRSA	0.011063	15.3062	2.3e-16	4.92678e+06	193696	189457
ToryBot	ToryZim	TstrTan	0.0110937	15.0414	2.3e-16	4.93107e+06	193623	189374
ToryBot	ToryZim	TstrZam	0.0109417	15.2839	2.3e-16	4.92564e+06	193813	189617
ToryBot	ToryZim	TstrZim	0.0110558	15.1692	2.3e-16	4.93093e+06	193598	189364
TstrBot	TstrBot_0757	ToryBot	0.861186	495.801	2.3e-16	2.4694e+06	1.61985e+06	120814
TstrNA-	TstrBot	ToryBot	0.112859	51.3937	2.3e-16	3.42961e+06	134462	107189
TstrBot	TstrNam	ToryBot	0.00565094	4.77568	1.79098e-06	3.46392e+06	104231	103060
TstrBot	TstrRSA	ToryBot	0.018774	11.1599	2.3e-16	3.47057e+06	101398	97660.6
TstrTan	TstrBot	ToryBot	0.0031997	2.60348	0.00922829	3.47782e+06	99659.6	99023.8
TstrBot	TstrZam	ToryBot	0.0251161	17.7464	2.3e-16	3.47391e+06	102699	97666.5
TstrZim	TstrBot	ToryBot	0.0024716	2.31644	0.0205345	3.46755e+06	102181	101677
TstrNA-	TstrBot_0757	ToryBot	0.853765	511.207	2.3e-16	2.42709e+06	1.65703e+06	130715
TstrNam	TstrBot_0757	ToryBot	0.853005	479.365	2.3e-16	2.45032e+06	1.62693e+06	129060
TstrRSA	TstrBot_0757	ToryBot	0.855038	449.078	2.3e-16	2.45537e+06	1.62206e+06	126756
TstrTan	TstrBot_0757	ToryBot	0.856926	488.27	2.3e-16	2.46045e+06	1.62487e+06	125195
TstrZam	TstrBot_0757	ToryBot	0.853601	501.722	2.3e-16	2.45695e+06	1.62212e+06	128117
TstrZim	TstrBot_0757	ToryBot	0.855039	485.079	2.3e-16	2.453e+06	1.62666e+06	127115
TstrNA-	TstrNam	ToryBot	0.108773	50.2779	2.3e-16	3.40488e+06	144971	116527
TstrNA-	TstrRSA	ToryBot	0.122221	49.192	2.3e-16	3.41125e+06	142363	111354
TstrNA-	TstrTan	ToryBot	0.106856	46.9153	2.3e-16	3.42267e+06	137957	111320
TstrNA-	TstrZam	ToryBot	0.128571	53.5582	2.3e-16	3.41815e+06	141783	109478
TstrNA-	TstrZim	ToryBot	0.105195	51.3432	2.3e-16	3.41224e+06	140618	113850
TstrNam	TstrRSA	ToryBot	0.0123264	9.26187	2.3e-16	3.45709e+06	105358	102792
TstrTan	TstrNam	ToryBot	0.00825601	6.42529	1.31623e-10	3.45254e+06	110346	108539
TstrNam	TstrZam	ToryBot	0.0174637	11.0673	2.3e-16	3.44815e+06	112474	108613
TstrZim	TstrNam	ToryBot	0.00749039	5.75084	8.87997e-09	3.4429e+06	112664	110988
TstrTan	TstrRSA	ToryBot	0.0207265	14.4836	2.3e-16	3.45907e+06	107676	103303
TstrRSA	TstrZam	ToryBot	0.00608266	3.72832	0.000192764	3.45466e+06	107120	105824
TstrZim	TstrRSA	ToryBot	0.0197018	14.5709	2.3e-16	3.4497e+06	109750	105509
TstrTan	TstrZam	ToryBot	0.0276977	16.778	2.3e-16	3.47022e+06	105155	99487
TstrTan	TstrZim	ToryBot	0.000629826	0.501749	0.615844	3.46271e+06	104753	104622
TstrZim	TstrZam	ToryBot	0.0261004	17.7862	2.3e-16	3.45756e+06	108825	103288
ToryKen	ToryEth	ToryNam	0.00767696	5.83211	5.47293e-09	381176	326776	321797
ToryKen	ToryEth	ToryRSA	0.0079973	4.75467	1.98771e-06	387111	325823	320653
ToryKen	ToryEth	ToryTan	0.000283124	0.237366	0.812373	347697	326432	326247
ToryKen	ToryEth	ToryZam	0.00517209	4.42799	9.51149e-06	370857	327098	323732
ToryKen	ToryEth	ToryZim	0.000656634	0.505866	0.612951	399446	330249	329815
ToryEth	ToryKen	TstrBot	0.00129311	0.922675	0.356177	4.95909e+06	175118	174665
ToryEth	ToryKen	TstrBot_0757	0.0013491	0.953613	0.340279	3.54976e+06	251943	251264
ToryEth	ToryKen	TstrNA-	0.00140368	0.980157	0.327009	4.98545e+06	174206	173718
ToryEth	ToryKen	TstrNam	0.00133756	0.958257	0.337933	4.95779e+06	175022	174554
ToryEth	ToryKen	TstrRSA	0.00148378	0.990173	0.322089	4.95524e+06	175024	174505
ToryEth	ToryKen	TstrTan	0.00125877	0.896404	0.370037	4.9595e+06	174900	174460
ToryEth	ToryKen	TstrZam	0.0014746	1.04998	0.293726	4.95404e+06	175164	174648
ToryEth	ToryKen	TstrZim	0.00131032	0.924218	0.355373	4.95936e+06	174917	174459
ToryRSA	ToryNam	ToryEth	0.0108745	8.31374	2.3e-16	393748	320185	313296
ToryTan	ToryEth	ToryNam	0.00442514	4.33374	1.466e-05	369856	336721	333754
ToryNam	ToryZam	ToryEth	0.0160122	11.2876	2.3e-16	370218	337581	326941
ToryZim	ToryNam	ToryEth	0.0210209	13.4653	2.3e-16	372305	359379	344581
ToryNam	ToryEth	TstrBot	0.000335689	0.264805	0.79116	4.92009e+06	190069	189941
ToryEth	ToryNam	TstrBot_0757	0.02295	9.61641	2.3e-16	3.51252e+06	281033	268423
ToryNam	ToryEth	TstrNA-	0.000310981	0.252354	0.800768	4.94638e+06	189044	188926
ToryNam	ToryEth	TstrNam	0.000338794	0.273613	0.784382	4.9188e+06	189969	189840
ToryNam	ToryEth	TstrRSA	7.62507e-05	0.0597749	0.952335	4.91623e+06	189904	189875
ToryNam	ToryEth	TstrTan	0.000360425	0.283592	0.776723	4.9205e+06	189862	189725
ToryNam	ToryEth	TstrZam	0.000299047	0.232694	0.815999	4.91507e+06	190074	189960
ToryNam	ToryEth	TstrZim	0.000420042	0.330964	0.740672	4.92037e+06	189874	189714
ToryTan	ToryEth	ToryRSA	0.0054107	4.98417	6.22281e-07	375913	335889	332274
ToryRSA	ToryZam	ToryEth	0.0261027	13.1611	2.3e-16	367309	344539	327010
ToryZim	ToryRSA	ToryEth	0.0111869	5.10739	3.26646e-07	371899	357452	349543
ToryEth	ToryRSA	TstrBot	0.00225271	1.33871	0.180664	4.91385e+06	191579	190718
ToryEth	ToryRSA	TstrBot_0757	0.0210598	8.29399	2.3e-16	3.50767e+06	282100	270463
ToryEth	ToryRSA	TstrNA-	0.00219757	1.32607	0.184816	4.94015e+06	190543	189707
ToryEth	ToryRSA	TstrNam	0.0020974	1.27551	0.202128	4.91259e+06	191445	190643
ToryEth	ToryRSA	TstrRSA	0.00245102	1.50198	0.133104	4.90999e+06	191486	190549
ToryEth	ToryRSA	TstrTan	0.00212947	1.27731	0.201494	4.9143e+06	191355	190542
ToryEth	ToryRSA	TstrZam	0.00219515	1.30317	0.192518	4.90885e+06	191589	190750
ToryEth	ToryRSA	TstrZim	0.00218585	1.31163	0.189645	4.91413e+06	191355	190520
ToryEth	ToryTan	ToryZam	0.0032475	2.77679	0.00548979	357980	337672	335486
ToryEth	ToryTan	ToryZim	0.012764	11.2418	2.3e-16	385098	345884	337166
ToryTan	ToryEth	TstrBot	0.00131597	1.33984	0.180298	4.94399e+06	180833	180358
ToryEth	ToryTan	TstrBot_0757	0.00851921	7.79366	6.50966e-15	3.53566e+06	262871	258429
ToryTan	ToryEth	TstrNA-	0.00128556	1.35404	0.175723	4.97033e+06	179864	179402
ToryTan	ToryEth	TstrNam	0.00123013	1.28112	0.200153	4.94269e+06	180725	180281
ToryTan	ToryEth	TstrRSA	0.00105821	1.03934	0.298646	4.94015e+06	180683	180301
ToryTan	ToryEth	TstrTan	0.00136072	1.40838	0.159019	4.94441e+06	180632	180141
ToryTan	ToryEth	TstrZam	0.00121606	1.22256	0.221494	4.93896e+06	180830	180390
ToryTan	ToryEth	TstrZim	0.0012925	1.32002	0.186827	4.94426e+06	180625	180159
ToryZim	ToryZam	ToryEth	0.0360574	25.0035	2.3e-16	367571	365466	340028
ToryEth	ToryZam	TstrBot	0.000210631	0.155264	0.876613	4.92824e+06	187655	187576
ToryEth	ToryZam	TstrBot_0757	0.0237244	14.2645	2.3e-16	3.51939e+06	277518	264656
ToryEth	ToryZam	TstrNA-	0.00019067	0.140264	0.888451	4.95456e+06	186658	186587
ToryEth	ToryZam	TstrNam	0.000282358	0.214901	0.829844	4.92694e+06	187574	187468
ToryEth	ToryZam	TstrRSA	0.000503404	0.353955	0.723373	4.92439e+06	187609	187421
ToryEth	ToryZam	TstrTan	0.000219426	0.16163	0.871597	4.92865e+06	187446	187364
ToryEth	ToryZam	TstrZam	0.000509058	0.367358	0.713352	4.92317e+06	187724	187533
ToryEth	ToryZam	TstrZim	0.000178316	0.133069	0.894138	4.92851e+06	187435	187368
ToryEth	ToryZim	TstrBot	0.00680216	6.41168	1.43925e-10	4.91043e+06	197875	195201
ToryEth	ToryZim	TstrBot_0757	0.0714574	49.5864	2.3e-16	3.49744e+06	309409	268139
ToryEth	ToryZim	TstrNA-	0.00653965	6.34871	2.17122e-10	4.93671e+06	196733	194176
ToryEth	ToryZim	TstrNam	0.00677023	6.60301	4.02882e-11	4.90914e+06	197765	195105
ToryEth	ToryZim	TstrRSA	0.00676565	6.33042	2.44502e-10	4.9066e+06	197727	195070
ToryEth	ToryZim	TstrTan	0.00663778	6.28981	3.1786e-10	4.91085e+06	197615	195009
ToryEth	ToryZim	TstrZam	0.00654238	6.19899	5.6827e-10	4.90544e+06	197820	195248
ToryEth	ToryZim	TstrZim	0.0065749	6.16823	6.90583e-10	4.91072e+06	197595	195014
TstrBot	TstrBot_0757	ToryEth	0.858572	484.383	2.3e-16	2.46935e+06	1.60831e+06	122384
TstrNA-	TstrBot	ToryEth	0.113006	51.2321	2.3e-16	3.428e+06	134479	107171
TstrBot	TstrNam	ToryEth	0.00574876	4.90681	9.25703e-07	3.46229e+06	104245	103053
TstrBot	TstrRSA	ToryEth	0.0185597	10.8645	2.3e-16	3.46898e+06	101383	97687.9
TstrTan	TstrBot	ToryEth	0.00310384	2.57223	0.0101046	3.4762e+06	99660.4	99043.7
TstrBot	TstrZam	ToryEth	0.0251128	17.0743	2.3e-16	3.4723e+06	102713	97680.3
TstrZim	TstrBot	ToryEth	0.00232976	2.27249	0.0230572	3.46592e+06	102177	101702
TstrNA-	TstrBot_0757	ToryEth	0.851223	502.279	2.3e-16	2.42702e+06	1.64548e+06	132242
TstrNam	TstrBot_0757	ToryEth	0.850359	469.449	2.3e-16	2.45025e+06	1.61537e+06	130638
TstrRSA	TstrBot_0757	ToryEth	0.852433	439.519	2.3e-16	2.45533e+06	1.61053e+06	128297
TstrTan	TstrBot_0757	ToryEth	0.854296	474.675	2.3e-16	2.46038e+06	1.61331e+06	126768
TstrZam	TstrBot_0757	ToryEth	0.850959	489.245	2.3e-16	2.45689e+06	1.61058e+06	129685
TstrZim	TstrBot_0757	ToryEth	0.852395	476.186	2.3e-16	2.45293e+06	1.6151e+06	128696
TstrNA-	TstrNam	ToryEth	0.109005	49.7641	2.3e-16	3.40324e+06	144975	116476
TstrNA-	TstrRSA	ToryEth	0.122207	47.549	2.3e-16	3.40965e+06	142346	111343
TstrNA-	TstrTan	ToryEth	0.107086	45.4536	2.3e-16	3.42104e+06	137970	111279
TstrNA-	TstrZam	ToryEth	0.12872	52.7881	2.3e-16	3.41654e+06	141793	109452
