0.0948332,0.0786848,0.0898853,0.107786,0.0898229,0.100802,0.113977,0.0945573,0.0900377,0.0858051,0.0837704,0.09875,0.0834676,0.0817229,0.0935403,0.0974024,0.0846916,0.0949986,0.103153,0.0983302	0.0805668,0.0780202,0.0941636,0.0965957,0.0841331,0.0948297,0.109631,0.0911789,0.0863958,0.081076,0.0789557,0.0800365,0.0792006,0.0762385,0.0849091,0.0987155,0.0674825,0.0789472,0.0968317,0.0843703	0.0143762,0.000668662,-0.00431485,0.0113077,0.00573306,0.00602996,0.00440075,0.00340784,0.0036704,0.00476221,0.00484683,0.0188626,0.00429535,0.00551876,0.00870027,-0.00132583,0.0173079,0.0161727,0.00638552,0.0140766
-0.0716014,-0.081173,-0.088376,-0.0714472,-0.0872034,-0.0879749,-0.0806726,-0.0664511,-0.085957,-0.0961569,-0.0986164,-0.0687629,-0.0785095,-0.0781459,-0.0813329,-0.0837556,-0.093632,-0.0813119,-0.0815748,-0.0658351	0.0172617,0.0050563,0.00259392,0.0148652,0.014795,0.0117151,0.0157428,0.00802776,0.00860364,0.00753504,0.0108565,0.0194934,0.00982256,0.0103963,0.00896555,0.0151978,0.00345206,0.0108673,0.0133132,0.00790502	-0.0887534,-0.0861939,-0.0909491,-0.0862208,-0.101867,-0.0995874,-0.0962931,-0.0744391,-0.0944908,-0.103617,-0.109356,-0.0881381,-0.088264,-0.0884703,-0.0902326,-0.0988276,-0.0970527,-0.0920979,-0.094785,-0.0737018
-0.0740894,-0.0779382,-0.0898912,-0.0785821,-0.0961882,-0.0976965,-0.100058,-0.0661028,-0.0962224,-0.0965106,-0.111885,-0.0723816,-0.0859904,-0.0794345,-0.0784895,-0.0960376,-0.10793,-0.0881603,-0.0931686,-0.073591	0.0105087,0.000686783,-0.00498213,0.0113814,0.0042185,0.00148347,-0.00435701,0.00423214,-0.00727663,-0.00879786,-0.010156,0.0141703,0.00057574,0.0078391,-0.00276074,-0.00485482,-0.0103388,0.0021096,0.00280241,-0.00365472	-0.0845324,-0.0786208,-0.0849471,-0.0898831,-0.100366,-0.0991656,-0.0957425,-0.0703153,-0.0890081,-0.0877873,-0.101845,-0.0864633,-0.0865619,-0.0872193,-0.0757452,-0.0912253,-0.0977002,-0.0902532,-0.095946,-0.0699551
0.0611715,0.0494676,0.058519,0.0701191,0.0502107,0.0710549,0.0804447,0.0622198,0.0589196,0.0456545,0.0492325,0.0626662,0.0556498,0.0521731,0.0508446,0.0650055,0.0476132,0.058406,0.0548737,0.0655036	0.0541815,0.0515003,0.0637628,0.061254,0.0475868,0.0675835,0.0838999,0.0582208,0.0581009,0.0531086,0.0471081,0.0560213,0.0561738,0.0498785,0.0540562,0.0616686,0.0421406,0.0507686,0.0520417,0.0612839	0.00701326,-0.00203787,-0.00526343,0.00890332,0.00263011,0.00348821,-0.00347865,0.0040135,0.000821509,-0.00747219,0.00212938,0.0066684,-0.000525701,0.00230056,-0.00322053,0.0033503,0.00548358,0.00766014,0.00284007,0.00423671
-0.0225041,-0.0447262,-0.0421577,-0.0321466,-0.0441774,-0.0355354,-0.0145566,-0.0253275,-0.0395746,-0.0554178,-0.0522066,-0.0241706,-0.0373445,-0.0366251,-0.0367512,-0.0323172,-0.0524729,-0.0370511,-0.0387553,-0.0264004	0.0333444,0.0155867,0.0188851,0.0245644,0.0273716,0.038809,0.0477422,0.0268734,0.0237836,0.0221369,0.0134439,0.0284763,0.0248671,0.0261638,0.0284715,0.0294218,0.0191802,0.0222927,0.0279302,0.0271055	-0.0558066,-0.0602709,-0.0609943,-0.0566663,-0.0714626,-0.0742421,-0.0622555,-0.0521653,-0.0632986,-0.0774597,-0.0656045,-0.0526106,-0.0621539,-0.0627288,-0.0651545,-0.0616804,-0.0715811,-0.0592947,-0.0666133,-0.0534676
-0.0313307,-0.0416696,-0.0392255,-0.0250318,-0.0416193,-0.0296166,-0.0149919,-0.0239088,-0.0392471,-0.0427954,-0.049006,-0.0220957,-0.0367879,-0.0303258,-0.0372866,-0.0184647,-0.048539,-0.0353631,-0.0365115,-0.0238589	-0.005322,-0.00887409,-0.019995,-0.0181187,-0.0209623,-0.00884949,0.00686564,-0.0123796,-0.00989446,-0.0196827,-0.0122541,-0.00539032,-0.00777883,-0.0114088,-0.008588,-0.000568884,-0.0233537,-0.0167433,-0.0155073,-0.00184123	-0.026013,-0.0328076,-0.0192456,-0.0069162,-0.020675,-0.0207725,-0.0218553,-0.0115327,-0.0293641,-0.0231321,-0.0367741,-0.0167074,-0.0290174,-0.0189235,-0.0287078,-0.017896,-0.0252139,-0.0186308,-0.021016,-0.0220187
0.00299953,0.000565093,-0.0025591,-0.00112487,0.00531049,0.0138343,0.00232233,0.00700695,0.000432508,-0.00190103,-0.00279817,0.00485433,0.00358537,0.00342605,0.00516509,0.0157936,-0.00443579,0.0115275,0.00711175,0.012785	-0.918836,-0.913933,-0.929075,-0.931705,-0.923407,-0.927143,-0.928043,-0.922238,-0.929286,-0.924499,-0.931012,-0.925039,-0.928018,-0.922804,-0.92136,-0.923662,-0.924228,-0.923027,-0.927077,-0.919343	0.919302,0.914026,0.928724,0.931557,0.924185,0.929061,0.928365,0.923279,0.929345,0.924223,0.930638,0.925737,0.928514,0.923311,0.922136,0.925947,0.923579,0.924715,0.92807,0.921299
-0.0193016,-0.0241587,-0.0210355,-0.0198106,-0.026781,-0.0116721,-0.00297012,-0.0117781,-0.026979,-0.0338032,-0.0374948,-0.00647871,-0.0151582,-0.0200358,-0.0223466,-0.0173628,-0.0381934,-0.0197074,-0.0294058,-0.00988746	-0.849334,-0.84236,-0.865961,-0.870054,-0.85653,-0.864077,-0.859628,-0.854141,-0.860838,-0.858006,-0.867023,-0.853933,-0.858657,-0.85221,-0.848853,-0.855725,-0.855937,-0.852309,-0.857895,-0.843892	0.843866,0.835198,0.860602,0.865155,0.84923,0.861089,0.858851,0.850924,0.853685,0.848822,0.857401,0.852169,0.854623,0.84663,0.842488,0.851006,0.84538,0.846825,0.84993,0.841022
0.00187429,0.000182544,-0.00244647,-0.000513059,0.00622086,0.0126228,0.00233086,0.00638901,0.000534469,-0.00180934,-0.00269944,0.00446789,0.00275226,0.00419711,0.00510274,0.0155506,-0.00371195,0.0115444,0.00622033,0.0136441	-0.919658,-0.914865,-0.929806,-0.932321,-0.924175,-0.928054,-0.928781,-0.92315,-0.929939,-0.925266,-0.93173,-0.925705,-0.92886,-0.923507,-0.922198,-0.924472,-0.924877,-0.92381,-0.927936,-0.920089	0.919947,0.914895,0.929474,0.932254,0.925077,0.929785,0.929101,0.924088,0.930012,0.925006,0.931373,0.926342,0.929237,0.924122,0.922958,0.9267,0.924339,0.925485,0.928796,0.922157
0.00296371,0.00045887,-0.00204237,-0.000526935,0.0055282,0.0134629,0.00242315,0.0072226,0.000646763,-0.00242471,-0.00256045,0.00471546,0.00343389,0.00315329,0.00574126,0.0154571,-0.0041285,0.0116593,0.00730678,0.012576	-0.91884,-0.913943,-0.928995,-0.931647,-0.923427,-0.927152,-0.928081,-0.922266,-0.929316,-0.924549,-0.931021,-0.925031,-0.928069,-0.922815,-0.921362,-0.92375,-0.92425,-0.923069,-0.927073,-0.919395	0.9193,0.914019,0.928715,0.931578,0.924237,0.929019,0.928416,0.923338,0.929404,0.924196,0.93068,0.925709,0.928544,0.923282,0.922225,0.925986,0.923646,0.924776,0.928093,0.921319
0.00282238,0.000156247,-0.00245282,-0.000702093,0.00566441,0.0134789,0.00151934,0.00688584,-0.000209013,-0.00208738,-0.00276926,0.00409637,0.00300069,0.00399958,0.00523573,0.0157271,-0.00527742,0.0122679,0.00754956,0.0127942	-0.918786,-0.913942,-0.92905,-0.931569,-0.923401,-0.927111,-0.928215,-0.922205,-0.929332,-0.924476,-0.931018,-0.925013,-0.928009,-0.922755,-0.921309,-0.923678,-0.924294,-0.92299,-0.927111,-0.91933	0.919225,0.913968,0.928713,0.931476,0.924232,0.928981,0.928425,0.923228,0.929304,0.924172,0.930648,0.925602,0.928424,0.923347,0.922097,0.925954,0.923521,0.924786,0.928164,0.921288
0.00261091,0.00125446,-0.00291166,-0.000419436,0.0054356,0.0136572,0.00276012,0.00667504,0.00055897,-0.00249071,-0.00259596,0.00494406,0.00273024,0.00422262,0.00557883,0.0159292,-0.00453283,0.0113303,0.00750732,0.0127198	-0.918973,-0.913927,-0.929224,-0.931682,-0.923492,-0.927318,-0.928115,-0.922375,-0.929298,-0.924623,-0.931034,-0.925066,-0.928176,-0.922905,-0.921452,-0.923696,-0.924373,-0.92314,-0.927104,-0.919433	0.919378,0.914133,0.928825,0.931626,0.924288,0.929207,0.928497,0.923365,0.929375,0.924261,0.930688,0.925776,0.928553,0.923529,0.92229,0.926,0.92371,0.924797,0.928151,0.921377
