branch	branch_descendants	Outgroup	bushbuck	nyala	lesser_kudu	greater_kudu	mountain_nyala	sitatunga	eland	giant_eland
b2	bushbuck,greater_kudu,mountain_nyala,sitatunga,eland,giant_eland	nan	nan	nan	nan	nan	nan	nan	nan	nan
b3	nyala,lesser_kudu	nan	nan	nan	nan	nan	nan	nan	nan	nan
b4	greater_kudu,mountain_nyala,sitatunga,eland,giant_eland	nan	nan	0	0	nan	nan	nan	nan	nan
b5	bushbuck	nan	nan	0.0858056	0.041308	nan	nan	nan	nan	nan
b6	nyala	nan	0.112711	nan	nan	0.0786141	0.081197	0.0828614	0.0590495	0.0582323
b7	lesser_kudu	nan	0	nan	nan	0	0	0	0	0
b8	mountain_nyala,sitatunga,eland,giant_eland	nan	0.115981	0.0527783	0.0519687	nan	nan	nan	nan	nan
b9	greater_kudu	nan	0	0	0	nan	nan	nan	nan	nan
b10	mountain_nyala,sitatunga	nan	0.131773	0.0289278	0.0116301	0	nan	nan	nan	nan
b11	eland,giant_eland	nan	0	0	0	0.0190914	nan	nan	nan	nan
b12	mountain_nyala	nan	0	0.00865597	0.00794955	0.0466438	nan	nan	0	0
b13	sitatunga	nan	0.0150686	0	0	0	nan	nan	0.0179271	0.0195867
b14	eland	nan	0	0	0	0	0	0	nan	nan
b15	giant_eland	nan	0.00303381	0.00406252	0.00543481	0.0022449	0.00326837	0.00553446	nan	nan
