0.733068,0.732923,0.74938,0.739712,0.740894,0.733559,0.753765,0.731169,0.75355,0.738618,0.738151,0.731592,0.754723,0.741432,0.744103,0.73974,0.723455,0.724736,0.739206,0.728527	0.734882,0.734742,0.751747,0.746778,0.7441,0.738576,0.751054,0.741278,0.764255,0.745159,0.739662,0.738179,0.755444,0.740424,0.748885,0.741812,0.725797,0.732236,0.743311,0.73318	-0.00393297,-0.00394174,-0.00542104,-0.0157869,-0.00714559,-0.0109507,0.00624798,-0.0220732,-0.0252439,-0.0145477,-0.00332861,-0.0143221,-0.001676,0.00223507,-0.0108006,-0.00459101,-0.00492987,-0.0159811,-0.00910971,-0.00998972
0.156175,0.146028,0.113396,0.123197,0.13908,0.115611,0.136018,0.139151,0.129597,0.153081,0.134779,0.137315,0.148003,0.139065,0.143432,0.128215,0.127237,0.121693,0.15334,0.157161	-0.0111115,-0.0110311,-0.0462853,-0.0604144,-0.0164976,-0.0739889,-0.0199429,-0.0248999,-0.0272489,-0.0143983,-0.0413901,-0.0192831,0.00127583,-0.0265401,-0.00427471,-0.0271444,-0.0223265,-0.0350039,0.00209591,0.00992956	0.166996,0.156806,0.158848,0.182255,0.155221,0.187992,0.155539,0.163484,0.156294,0.167111,0.175192,0.156185,0.146754,0.164996,0.147616,0.154821,0.14914,0.156032,0.151293,0.147461
-0.109839,-0.100412,-0.0875108,-0.0959497,-0.107144,-0.0794506,-0.0948427,-0.0862572,-0.0798377,-0.0921996,-0.0867366,-0.0906514,-0.0845669,-0.0933929,-0.0949812,-0.0890921,-0.0797021,-0.0832554,-0.0872418,-0.0850957	-0.347224,-0.376602,-0.404997,-0.438824,-0.38806,-0.455732,-0.41028,-0.39227,-0.439635,-0.424096,-0.430134,-0.419327,-0.420939,-0.422524,-0.414362,-0.415249,-0.406106,-0.454151,-0.437109,-0.437646	0.246798,0.287045,0.329152,0.357945,0.293102,0.390418,0.328208,0.316729,0.372885,0.345402,0.356705,0.341663,0.348789,0.342652,0.332465,0.338687,0.337322,0.385471,0.363738,0.366188
0.00147106,-0.00232257,-0.0189958,-0.0414655,-0.0182539,-0.070713,-0.0185289,-0.0286033,-0.0547728,-0.0199125,-0.0272489,-0.0143234,-0.0112222,-0.0156903,-0.0153172,-0.0330661,-0.0105308,-0.0393688,-0.0253378,-0.0190783	0.153951,0.146474,0.141401,0.128129,0.15175,0.106611,0.139254,0.139597,0.119987,0.153134,0.138082,0.143679,0.151144,0.1512,0.152676,0.141325,0.146317,0.140013,0.143499,0.153292	-0.152514,-0.148746,-0.159967,-0.168698,-0.169535,-0.175997,-0.157376,-0.167531,-0.173619,-0.172521,-0.164711,-0.157678,-0.162092,-0.166495,-0.167602,-0.17358,-0.156606,-0.178398,-0.168225,-0.171868
-0.147703,-0.151853,-0.122949,-0.116515,-0.1393,-0.108036,-0.143113,-0.120671,-0.126528,-0.13728,-0.127423,-0.148293,-0.119126,-0.136467,-0.133379,-0.14606,-0.12459,-0.12573,-0.130654,-0.128463	-0.236764,-0.271485,-0.307158,-0.336026,-0.280121,-0.378915,-0.32354,-0.293309,-0.361744,-0.327304,-0.340711,-0.33009,-0.317391,-0.33017,-0.305434,-0.330795,-0.308007,-0.368578,-0.339361,-0.340108	0.0922877,0.124775,0.191438,0.228455,0.146538,0.28244,0.189187,0.178973,0.246498,0.198963,0.222968,0.191154,0.206055,0.202843,0.179362,0.194114,0.190736,0.254649,0.218391,0.221315
0.0101557,0.0179742,-0.00789686,-0.0115231,0.00294305,-0.0395174,-0.00747886,-0.019376,-0.0556757,-0.00946181,-0.0124614,-0.00597309,0.00756051,0.00175932,0.00625153,-0.0196331,-0.00226706,-0.0252069,-0.0176036,-0.0149546	0.183736,0.181568,0.172317,0.168292,0.194816,0.149584,0.174842,0.16744,0.13911,0.179337,0.171848,0.174984,0.190196,0.185447,0.189987,0.165527,0.175008,0.169813,0.16165,0.17279	-0.173905,-0.16413,-0.179969,-0.179467,-0.191983,-0.18799,-0.182082,-0.186212,-0.193289,-0.188479,-0.183916,-0.180768,-0.182898,-0.183748,-0.183953,-0.18456,-0.177205,-0.194189,-0.178745,-0.18726
0.153516,0.149427,0.117532,0.126057,0.144448,0.123202,0.137353,0.141085,0.128859,0.159095,0.136394,0.1462,0.15443,0.146315,0.143488,0.130456,0.1309,0.127482,0.150669,0.158582	-0.0148411,-0.00952024,-0.0445161,-0.0638666,-0.0142793,-0.0711322,-0.0162223,-0.0322593,-0.0370218,-0.0149508,-0.0407021,-0.0170338,0.00682271,-0.0193187,-0.00852553,-0.0267838,-0.0212236,-0.0362847,-0.00380927,0.00738432	0.167975,0.158721,0.161204,0.188407,0.158401,0.192646,0.153234,0.172559,0.165093,0.173632,0.176118,0.162828,0.147763,0.165167,0.151828,0.156693,0.151702,0.163013,0.15439,0.151375
-0.0992211,-0.0917407,-0.0750491,-0.0821808,-0.0966101,-0.0647709,-0.0845597,-0.0742042,-0.0665353,-0.0819836,-0.0778596,-0.0830916,-0.0731216,-0.0815473,-0.0845747,-0.0808765,-0.0724125,-0.0739179,-0.0759899,-0.0750023	-0.34009,-0.370635,-0.397581,-0.433814,-0.381606,-0.448819,-0.401503,-0.390071,-0.436907,-0.420678,-0.424765,-0.418299,-0.41305,-0.414455,-0.410201,-0.41117,-0.40259,-0.452505,-0.432318,-0.433665	0.24928,0.288711,0.332452,0.364633,0.295905,0.395547,0.328082,0.325282,0.38146,0.350793,0.35877,0.347278,0.350515,0.344553,0.337329,0.341654,0.340092,0.391688,0.368432,0.370721
0.00447537,0.00387922,-0.0219535,-0.0394605,-0.013011,-0.0651834,-0.0163146,-0.0186071,-0.0488169,-0.010447,-0.0261347,-0.0134537,-0.00418169,-0.0133223,-0.012403,-0.0265728,-0.00549226,-0.0392372,-0.0226971,-0.0160146	0.155131,0.151141,0.135824,0.123342,0.154044,0.107375,0.144098,0.140943,0.115753,0.157106,0.137309,0.138094,0.157555,0.15492,0.151013,0.146513,0.149878,0.132823,0.141959,0.151962	-0.15076,-0.147348,-0.157309,-0.162014,-0.166721,-0.171359,-0.160036,-0.159133,-0.163645,-0.167278,-0.162859,-0.151267,-0.16163,-0.167896,-0.16311,-0.172415,-0.155242,-0.171168,-0.164127,-0.167569
-0.137864,-0.15035,-0.114755,-0.113859,-0.135202,-0.098142,-0.13848,-0.112555,-0.114625,-0.130477,-0.125,-0.138808,-0.114854,-0.136089,-0.127399,-0.139386,-0.12085,-0.120729,-0.124135,-0.124476	-0.229205,-0.271251,-0.302367,-0.338906,-0.278863,-0.374439,-0.318112,-0.294,-0.359442,-0.32621,-0.339692,-0.326818,-0.314449,-0.329509,-0.303996,-0.326803,-0.306822,-0.369766,-0.336751,-0.339844	0.0943213,0.126041,0.194357,0.23408,0.149289,0.286838,0.187909,0.187655,0.255337,0.204435,0.224212,0.196945,0.207074,0.202501,0.183713,0.196362,0.193133,0.260674,0.221892,0.224881
