P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ScafKen	ScafNA-	TbuxEth	0.065284	14.555	2.3e-16	3.14454e+06	67197	58960.9
ScafKen	ScafNA-	TderCam	0.10833	17.6354	2.3e-16	3.25777e+06	68161	54836.7
ScafKen	ScafNA-	TderCha	0.108015	17.6425	2.3e-16	3.26054e+06	68252	54944.8
ScafKen	ScafNA-	TderSSu	0.10805	17.427	2.3e-16	3.2564e+06	68167.8	54873.2
ScafKen	ScafNA-	TderUga	0.108095	17.4555	2.3e-16	3.25812e+06	68184.2	54881.5
ScafKen	ScafNA-	TimbAby	0.124415	24.614	2.3e-16	3.24961e+06	73274.5	57059
ScafKen	ScafNA-	TimbEth	0.124873	24.8179	2.3e-16	3.24771e+06	73162.6	56918.9
ScafKen	ScafNA-	TimbKen	0.124985	24.7735	2.3e-16	3.24668e+06	73253.1	56976.3
ScafKen	ScafNA-	TimbSom	0.124163	24.9025	2.3e-16	3.2498e+06	73387.4	57176.3
ScafKen	ScafNA-	TimbTan	0.125532	24.8096	2.3e-16	3.24816e+06	73322.2	56966.8
ScafKen	ScafNA-	TimbUga	0.124508	24.761	2.3e-16	3.24704e+06	73462	57194.3
ScafKen	ScafNA-	ToryBot	0.133466	19.3686	2.3e-16	3.2712e+06	69649	53246.6
ScafKen	ScafNA-	ToryEth	0.132941	19.4131	2.3e-16	3.26853e+06	69684.2	53330.6
ScafKen	ScafNA-	ToryKen	0.133023	19.2124	2.3e-16	3.26876e+06	69645.8	53292.2
ScafKen	ScafNA-	ToryNam	0.13376	19.4567	2.3e-16	3.26916e+06	69695.9	53250.5
ScafKen	ScafNA-	ToryRSA	0.133658	19.4564	2.3e-16	3.26898e+06	69647	53224.3
ScafKen	ScafNA-	ToryTan	0.133263	19.4635	2.3e-16	3.26946e+06	69658.8	53276.1
ScafKen	ScafNA-	ToryZam	0.133683	19.4703	2.3e-16	3.26972e+06	69690.1	53254.5
ScafKen	ScafNA-	ToryZim	0.133551	19.5236	2.3e-16	3.2735e+06	69613.7	53210.4
ScafKen	ScafNA-	TscrGha	0.0125127	3.35247	0.000800932	2.9856e+06	66960.3	65305.3
ScafKen	ScafNA-	TspeBot	0.104448	18.426	2.3e-16	3.17157e+06	69073.8	56009.1
ScafKen	ScafNA-	TspeCam	0.102748	18.2475	2.3e-16	3.17332e+06	69306.8	56391.5
ScafKen	ScafNA-	TspeCon	0.102898	18.1207	2.3e-16	3.16939e+06	69230.3	56312.2
ScafKen	ScafNA-	TspeDRC	0.102984	18.5084	2.3e-16	3.17346e+06	69304.1	56362.4
ScafKen	ScafNA-	TspeGha	0.102805	18.0515	2.3e-16	3.16922e+06	68965.8	56107.7
ScafKen	ScafNA-	TspeTan	0.106145	18.6257	2.3e-16	3.17345e+06	69174.6	55898.7
ScafKen	ScafNA-	TspeZam	0.103299	17.9486	2.3e-16	3.17282e+06	68986.2	56068.2
ScafKen	ScafNA-	TstrBot	0.120343	18.871	2.3e-16	3.45524e+06	68623.9	53881.3
ScafKen	ScafNA-	TstrNA-	0.119809	18.8355	2.3e-16	3.47804e+06	68295.6	53681.6
ScafKen	ScafNA-	TstrNam	0.12	18.9354	2.3e-16	3.45618e+06	68532.1	53846.7
