P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ScafNA-	ScafKen	TbuxEth	0.00454937	2.78925	0.00528308	1.55854e+06	35283.7	34964.1
ScafKen	ScafNA-	TderCam	0.0180177	10.1016	2.3e-16	1.62503e+06	35353.1	34101.7
ScafKen	ScafNA-	TderCha	0.0186229	10.3758	2.3e-16	1.62187e+06	35239.3	33950.8
ScafKen	ScafNA-	TderSSu	0.0177036	10.2117	2.3e-16	1.62432e+06	35360.3	34130
ScafKen	ScafNA-	TderUga	0.0184311	10.9489	2.3e-16	1.62265e+06	35289.1	34011.8
ScafKen	ScafNA-	TimbAby	0.0199661	10.5967	2.3e-16	1.74618e+06	33219.5	31918.9
ScafKen	ScafNA-	TimbEth	0.019603	10.6967	2.3e-16	1.74367e+06	33189.9	31913.7
ScafKen	ScafNA-	TimbKen	0.0196839	10.5356	2.3e-16	1.74396e+06	33211.3	31929.1
ScafKen	ScafNA-	TimbSom	0.0201087	10.8101	2.3e-16	1.7461e+06	33254.3	31943.3
ScafKen	ScafNA-	TimbTan	0.020033	10.6943	2.3e-16	1.74462e+06	33230.8	31925.5
ScafKen	ScafNA-	TimbUga	0.020105	10.7061	2.3e-16	1.745e+06	33250.7	31940
ScafKen	ScafNA-	ToryBot	0.0287248	16.05	2.3e-16	1.6234e+06	34833.9	32888.6
ScafKen	ScafNA-	ToryEth	0.0283545	15.4771	2.3e-16	1.62229e+06	34845.4	32923.8
ScafKen	ScafNA-	ToryKen	0.0286636	16.4436	2.3e-16	1.6189e+06	34722.2	32787.2
ScafKen	ScafNA-	ToryNam	0.0287723	16.0076	2.3e-16	1.62234e+06	34855.4	32905.8
ScafKen	ScafNA-	ToryRSA	0.0293141	18.2554	2.3e-16	1.52002e+06	32265.1	30427.3
ScafKen	ScafNA-	ToryTan	0.0286496	15.7954	2.3e-16	1.62299e+06	34841.1	32900.4
ScafKen	ScafNA-	ToryZam	0.02893	16.216	2.3e-16	1.62295e+06	34846.2	32886.6
ScafKen	ScafNA-	ToryZim	0.0287361	16.2886	2.3e-16	1.6249e+06	34839.3	32892.9
