P1	P2	P3	Dstatistic	Z-score	p-value	BBAA	ABBA	BABA
ScafNA-	ScafKen	TbuxEth	0.00253421	1.44181	0.149355	1.13845e+06	30302.6	30149.4
ScafKen	ScafNA-	TderCam	0.0192307	9.98797	2.3e-16	1.19737e+06	30325.4	29181.1
ScafKen	ScafNA-	TderCha	0.0205305	10.1588	2.3e-16	1.1948e+06	30281.5	29063.1
ScafKen	ScafNA-	TderSSu	0.0188593	9.7601	2.3e-16	1.19673e+06	30387	29262.1
ScafKen	ScafNA-	TderUga	0.0201232	10.6547	2.3e-16	1.19547e+06	30337.1	29140.2
ScafKen	ScafNA-	TimbAby	0.0221569	10.603	2.3e-16	1.34634e+06	28154.8	26934.2
ScafKen	ScafNA-	TimbEth	0.0207882	9.83786	2.3e-16	1.34443e+06	28059.5	26916.7
ScafKen	ScafNA-	TimbKen	0.0210517	10.1403	2.3e-16	1.34469e+06	28104.9	26945.9
ScafKen	ScafNA-	TimbSom	0.0219104	11.0105	2.3e-16	1.34602e+06	28180.1	26971.7
ScafKen	ScafNA-	TimbTan	0.0215987	10.8099	2.3e-16	1.3453e+06	28124.9	26935.6
ScafKen	ScafNA-	TimbUga	0.0215139	10.4439	2.3e-16	1.34517e+06	28160.7	26974.6
ScafKen	ScafNA-	ToryBot	0.0288693	16.1449	2.3e-16	1.22445e+06	29862.2	28186.3
ScafKen	ScafNA-	ToryEth	0.0281958	14.974	2.3e-16	1.22343e+06	29878	28239.3
ScafKen	ScafNA-	ToryKen	0.0292229	16.5522	2.3e-16	1.22105e+06	29795.9	28103.9
ScafKen	ScafNA-	ToryNam	0.0288704	15.7189	2.3e-16	1.22344e+06	29893	28215.4
ScafKen	ScafNA-	ToryRSA	0.0291666	16.6275	2.3e-16	1.14812e+06	27939.7	26356.1
ScafKen	ScafNA-	ToryTan	0.0290252	15.653	2.3e-16	1.22411e+06	29884.6	28198.8
ScafKen	ScafNA-	ToryZam	0.0292192	15.3362	2.3e-16	1.22399e+06	29878.2	28181.8
ScafKen	ScafNA-	ToryZim	0.0287691	15.4995	2.3e-16	1.22561e+06	29851.1	28181.6
ScafNA-	ScafKen	TscrGha	0.0169198	8.46502	2.3e-16	1.01035e+06	29476.4	28495.6
ScafKen	ScafNA-	TspeBot	0.012756	6.42735	1.29851e-10	1.17546e+06	29748.2	28998.8
ScafKen	ScafNA-	TspeCam	0.0132008	6.35774	2.04749e-10	1.17686e+06	29876.2	29097.7
ScafKen	ScafNA-	TspeCon	0.0127784	6.12235	9.22034e-10	1.17392e+06	29845.2	29092.1
ScafKen	ScafNA-	TspeDRC	0.0137963	6.57951	4.71987e-11	1.17711e+06	29854.5	29041.9
ScafKen	ScafNA-	TspeGha	0.0116013	5.32244	1.02385e-07	1.16992e+06	29532.6	28855.2
ScafKen	ScafNA-	TspeTan	0.0126309	5.87134	4.32298e-09	1.17706e+06	29761.7	29019.3
ScafKen	ScafNA-	TspeZam	0.0130161	5.86883	4.38875e-09	1.16325e+06	29380.1	28625.1
ScafKen	ScafNA-	TstrBot	0.016986	10.3346	2.3e-16	1.20188e+06	29292.7	28314.2
ScafKen	ScafNA-	TstrNA-	0.0165152	9.90806	2.3e-16	1.20463e+06	28909.3	27969.9
ScafKen	ScafNA-	TstrNam	0.0178774	10.984	2.3e-16	1.20341e+06	29300.2	28271
ScafKen	ScafNA-	TstrRSA	0.0185604	10.5301	2.3e-16	1.19117e+06	28989.3	27932.8
ScafKen	ScafNA-	TstrTan	0.0178255	10.4306	2.3e-16	1.20172e+06	29278.2	28252.7
ScafKen	ScafNA-	TstrZam	0.0175044	10.0238	2.3e-16	1.20166e+06	29278.6	28271.2
ScafKen	ScafNA-	TstrZim	0.0173306	10.225	2.3e-16	1.20227e+06	29248.3	28251.8
TderCam	TbuxEth	ScafKen	0.0639297	25.9282	2.3e-16	1.14411e+06	493883	434530
TderCha	TbuxEth	ScafKen	0.0652067	26.4485	2.3e-16	1.13952e+06	493638	433202
TderSSu	TbuxEth	ScafKen	0.0628561	25.4	2.3e-16	1.14488e+06	493234	434895
TderUga	TbuxEth	ScafKen	0.0638225	26.1879	2.3e-16	1.14202e+06	493256	434071
TbuxEth	ScafKen	TimbAby	0.0328569	19.9108	2.3e-16	725969	516928	484039
TbuxEth	ScafKen	TimbEth	0.0304549	17.9969	2.3e-16	723524	516228	485714
TbuxEth	ScafKen	TimbKen	0.032597	19.6383	2.3e-16	724287	516944	484307
TbuxEth	ScafKen	TimbSom	0.0331786	19.8917	2.3e-16	726087	517442	484209
TbuxEth	ScafKen	TimbTan	0.0327588	19.5255	2.3e-16	724828	516866	484076
TbuxEth	ScafKen	TimbUga	0.0342511	20.4971	2.3e-16	725641	517837	483539
ToryBot	TbuxEth	ScafKen	0.0939734	36.5801	2.3e-16	1.11371e+06	497929	412384
ToryEth	TbuxEth	ScafKen	0.0928754	36.0932	2.3e-16	1.11428e+06	497059	412576
ToryKen	TbuxEth	ScafKen	0.093682	35.9361	2.3e-16	1.11048e+06	496116	411124
ToryNam	TbuxEth	ScafKen	0.092888	35.691	2.3e-16	1.11435e+06	497193	412677
ToryRSA	TbuxEth	ScafKen	0.0976914	35.2018	2.3e-16	1.03881e+06	465356	382525
ToryTan	TbuxEth	ScafKen	0.0936159	36.4496	2.3e-16	1.11378e+06	497631	412434
