"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"
"567"	"eland"	"D2301170587"	64.9	"Taurotragus"	"oryx"	NA	"1080"	"+"	"88-12-04"	NA	NA	NA	NA	"Kenya"	"Laikipia"	"Box1"	"ToryKen_0587"
"918"	"eland"	"D2301170588"	52.42	"Taurotragus"	"oryx"	NA	"2264"	"muscle"	"94-05-02"	"LD01"	"Leon Dal"	"M"	NA	"RSA"	"Natal (Table Mt.)"	"Box1"	"ToryRSA_0588"
"951"	"eland"	"D2301170589"	75	"Taurotragus"	"oryx"	NA	"463"	"dry skin"	"94-04-20"	"BP33"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0589"
"955"	"eland"	"D2301170590"	63.86	"Taurotragus"	"oryx"	NA	"464"	"dry skin"	"94-04-20"	"BP37"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0590"
"956"	"eland"	"D2301170591"	72.98	"Taurotragus"	"oryx"	NA	"465"	"dry skin"	"94-04-20"	"BP38"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0591"
"957"	"eland"	"D2301170592"	70.58	"Taurotragus"	"oryx"	NA	NA	"dry skin"	"94-04-20"	"BP39"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0592"
"965"	"eland"	"D2301170593"	77.18	"Taurotragus"	"oryx"	NA	"2269"	"dry skin"	"94-04-21"	"BP03"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0593"
"966"	"eland"	"D2301170594"	69.52	"Taurotragus"	"oryx"	NA	"2268"	"dry skin"	"94-04-21"	"BP04"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0594"
"967"	"eland"	"D2301170595"	73.96	"Taurotragus"	"oryx"	NA	NA	"dry skin"	"94-04-21"	"BP05"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0595"
"968"	"eland"	"D2301170596"	68.08	"Taurotragus"	"oryx"	NA	"2267"	"dry skin"	"94-04-21"	"BP06"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0596"
"969"	"eland"	"D2301170597"	77.28	"Taurotragus"	"oryx"	NA	"2266"	"dry skin"	"94-04-21"	"BP07"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0597"
"970"	"eland"	"D2301170598"	74.48	"Taurotragus"	"oryx"	NA	"2263"	"dry skin"	"94-04-21"	"BP08"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0598"
"971"	"eland"	"D2301170599"	84.26	"Taurotragus"	"oryx"	NA	"2262"	"dry skin"	"94-04-21"	"BP09"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0599"
"1484"	"eland"	"D2301170727"	56.98	"Taurotragus"	"oryx"	NA	"1223"	"earnick"	"94-07-27"	"EA08"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0727"
