"Sample Name"	"Common Name"	"SampleNumber"	"samBaseNum"	"Genus"	"Species"	"Coordinates"	"DNA"	"Tissue"	"Date"	"Number"	"Name collector"	"Sex"	"Split"	"Country"	"Locality"	"Comments"	"Sample"	File1	File2
"567"	"eland"	"D2301170587"	64.9	"Taurotragus"	"oryx"	NA	"1080"	"+"	"88-12-04"	NA	NA	NA	NA	"Kenya"	"Laikipia"	"Box1"	"ToryKen_0587"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170587/230302_SEQ061_FP200009145_L01_SP2302150578/FP200009145_L01_329_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170587/230302_SEQ061_FP200009145_L01_SP2302150578/FP200009145_L01_329_2.fq.gz
"918"	"eland"	"D2301170588"	52.42	"Taurotragus"	"oryx"	NA	"2264"	"muscle"	"94-05-02"	"LD01"	"Leon Dal"	"M"	NA	"RSA"	"Natal (Table Mt.)"	"Box1"	"ToryRSA_0588"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170588/230302_SEQ061_FP200009145_L01_SP2302150579/FP200009145_L01_330_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170588/230302_SEQ061_FP200009145_L01_SP2302150579/FP200009145_L01_330_2.fq.gz
"951"	"eland"	"D2301170589"	75	"Taurotragus"	"oryx"	NA	"463"	"dry skin"	"94-04-20"	"BP33"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0589"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170589/230302_SEQ061_FP200009145_L01_SP2302150580/FP200009145_L01_331_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170589/230302_SEQ061_FP200009145_L01_SP2302150580/FP200009145_L01_331_2.fq.gz
"955"	"eland"	"D2301170590"	63.86	"Taurotragus"	"oryx"	NA	"464"	"dry skin"	"94-04-20"	"BP37"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0590"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170590/230302_SEQ061_FP200009145_L01_SP2302150581/FP200009145_L01_332_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170590/230302_SEQ061_FP200009145_L01_SP2302150581/FP200009145_L01_332_2.fq.gz
"956"	"eland"	"D2301170591"	72.98	"Taurotragus"	"oryx"	NA	"465"	"dry skin"	"94-04-20"	"BP38"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0591"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170591/230302_SEQ061_FP200009145_L01_SP2302150582/FP200009145_L01_333_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170591/230302_SEQ061_FP200009145_L01_SP2302150582/FP200009145_L01_333_2.fq.gz
"957"	"eland"	"D2301170592"	70.58	"Taurotragus"	"oryx"	NA	NA	"dry skin"	"94-04-20"	"BP39"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0592"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170592/230302_SEQ061_FP200009145_L01_SP2302150583/FP200009145_L01_334_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170592/230302_SEQ061_FP200009145_L01_SP2302150583/FP200009145_L01_334_2.fq.gz
"965"	"eland"	"D2301170593"	77.18	"Taurotragus"	"oryx"	NA	"2269"	"dry skin"	"94-04-21"	"BP03"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0593"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170593/230302_SEQ061_FP200009145_L01_SP2302150584/FP200009145_L01_335_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170593/230302_SEQ061_FP200009145_L01_SP2302150584/FP200009145_L01_335_2.fq.gz
"966"	"eland"	"D2301170594"	69.52	"Taurotragus"	"oryx"	NA	"2268"	"dry skin"	"94-04-21"	"BP04"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0594"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170594/230302_SEQ061_FP200009145_L01_SP2302150585/FP200009145_L01_336_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170594/230302_SEQ061_FP200009145_L01_SP2302150585/FP200009145_L01_336_2.fq.gz
"967"	"eland"	"D2301170595"	73.96	"Taurotragus"	"oryx"	NA	NA	"dry skin"	"94-04-21"	"BP05"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0595"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170595/230302_SEQ061_FP200009145_L01_SP2302150586/FP200009145_L01_337_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170595/230302_SEQ061_FP200009145_L01_SP2302150586/FP200009145_L01_337_2.fq.gz
"968"	"eland"	"D2301170596"	68.08	"Taurotragus"	"oryx"	NA	"2267"	"dry skin"	"94-04-21"	"BP06"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0596"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170596/230302_SEQ061_FP200009145_L01_SP2302150587/FP200009145_L01_338_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170596/230302_SEQ061_FP200009145_L01_SP2302150587/FP200009145_L01_338_2.fq.gz
"969"	"eland"	"D2301170597"	77.28	"Taurotragus"	"oryx"	NA	"2266"	"dry skin"	"94-04-21"	"BP07"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0597"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170597/230302_SEQ061_FP200009145_L01_SP2302150588/FP200009145_L01_339_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170597/230302_SEQ061_FP200009145_L01_SP2302150588/FP200009145_L01_339_2.fq.gz
"970"	"eland"	"D2301170598"	74.48	"Taurotragus"	"oryx"	NA	"2263"	"dry skin"	"94-04-21"	"BP08"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0598"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170598/230302_SEQ061_FP200009145_L01_SP2302150589/FP200009145_L01_340_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170598/230302_SEQ061_FP200009145_L01_SP2302150589/FP200009145_L01_340_2.fq.gz
"971"	"eland"	"D2301170599"	84.26	"Taurotragus"	"oryx"	NA	"2262"	"dry skin"	"94-04-21"	"BP09"	NA	NA	NA	"Namibia"	"Ovita Ranch"	"Box1"	"ToryNam_0599"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170599/230302_SEQ061_FP200009145_L01_SP2302150590/FP200009145_L01_341_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170599/230302_SEQ061_FP200009145_L01_SP2302150590/FP200009145_L01_341_2.fq.gz
"1484"	"eland"	"D2301170727"	56.98	"Taurotragus"	"oryx"	NA	"1223"	"earnick"	"94-07-27"	"EA08"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0727"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170727/230302_SEQ062_FP200009146_L01_SP2302150704/FP200009146_L01_361_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170727/230302_SEQ062_FP200009146_L01_SP2302150704/FP200009146_L01_361_2.fq.gz
"1485"	"eland"	"D2301170728"	58.36	"Taurotragus"	"oryx"	NA	"7"	"earnick"	"94-07-27"	"EA09"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0728"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170728/230302_SEQ062_FP200009146_L01_SP2302150705/FP200009146_L01_362_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170728/230302_SEQ062_FP200009146_L01_SP2302150705/FP200009146_L01_362_2.fq.gz
"1486"	"eland"	"D2301170729"	68.28	"Taurotragus"	"oryx"	NA	"8"	"earnick"	"94-07-27"	"EA10"	"E.C. Anderson"	"F"	NA	"Zimbabwe"	"Nuanetsi (Zimb S.E.)"	"Box3"	"ToryZim_0729"	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170729/230302_SEQ062_FP200009146_L01_SP2302150706/FP200009146_L01_363_1.fq.gz	/maps/projects/seqafrica/scratch/albrecht/rawfastq/2023april/disk1/W230215025-1/D2301170729/230302_SEQ062_FP200009146_L01_SP2302150706/FP200009146_L01_363_2.fq.gz
