ind  invar var
TstrNam_0742 14086 1288
TstrNam_0743 14375 1276
TstrNam_0744 14147 1459
TstrNam_0745 14486 1373
TstrNam_0746 14104 1494
TstrNam_0747 14664 1249
TstrNam_0748 14757 1076
TstrNam_0821 14164 1353
TstrZim_0822 14031 1327
TstrZim_0823 14383 1241
TstrZim_0824 14232 1430
TstrZim_0825 14228 1431
TstrZim_0826 14012 1223
TstrZim_0827 14378 1222
TstrZim_0828 14185 1356
TstrZim_0829 14638 1090
TstrZim_0830 14418 1354
TstrBot_0750 13935 1527
TstrBot_0751 14074 1427
TstrBot_0752 14157 1517
TstrBot_0753 14271 1376
TstrBot_0755 14156 1395
TstrBot_0757 13992 1939
TstrBot_0758 14600 1227
TstrBot_0759 14080 1478
TstrBot_0760 13994 1535
TstrBot_0762 14433 1251
TstrTan_0831 14220 1251
TstrTan_0832 14251 1409
TstrTan_0833 14322 1447
TstrTan_0834 14237 1433
TstrTan_0835 14203 1386
TstrTan_0836 14157 1587
TstrTan_0837 14264 1345
TstrTan_0838 14037 1290
TstrTan_0839 14295 1364
TstrKen_0763 14120 1620
TstrTan_0768 14127 1472
TstrTan_0769 14391 1337
TstrTan_0770 14194 1449
TstrNA-_0840 14024 2175
TstrRSA_0841 14271 1166
TstrZam_0842 14407 1280
TstrTan_0844 14194 1354
TstrTan_0845 14288 1348
TstrTan_0846 14065 1253
TstrTan_0847 14410 1283
TstrTan_0771 14342 1330
TstrTan_0848 14140 1518
TstrTan_0849 14358 1237
TstrTan_0850 13899 1243
TstrZam_0851 13678 2188
ToryZam_0619 13946 1415
TimbTan_0818 14016 1466
