Scaffold	Length	X_Z	Abnormal_sex_linked	pVal	homogametic_median	heterogametic_median
NC_037328.1	158534110	FALSE	FALSE	0.963674854547911	0.99988421673598	1
NC_037357.1	139009144	FALSE	TRUE	1.45317713648728e-07	0.966905364962635	0.570168030833774
NC_037329.1	136231102	FALSE	FALSE	0.805090878648761	0.99675528133568	1
NC_037330.1	121005158	FALSE	FALSE	0.544010093524295	1.01176002788402	1.00247273105011
NC_037332.1	120089316	FALSE	FALSE	0.720812528530842	1.10893815741054	1.10054280006089
NC_037331.1	120000601	FALSE	FALSE	0.0161693952780204	0.992497398049719	0.998325348169208
NC_037333.1	117806340	FALSE	FALSE	0.489511052497743	0.979046518871963	0.984449887704684
NC_037335.1	113319770	FALSE	FALSE	0.673816904043543	1.00476053283982	1.00131218249574
NC_037334.1	110682743	FALSE	FALSE	0.793113932992222	0.997819243402114	0.994412828261731
NC_037338.1	106982474	FALSE	FALSE	0.818714607826696	1.00063203682757	0.9901478753357
NC_037336.1	105454467	FALSE	FALSE	0.0798219137838618	0.982014479879724	0.988065786328025
NC_037337.1	103308737	FALSE	FALSE	0.543579593693307	1.02813883447069	1.01857412388944
NC_037339.1	87216183	FALSE	FALSE	0.0554946097567848	0.956722353996085	0.961402258875932
NC_037342.1	85007780	FALSE	FALSE	0.0558038598564765	1.0050872882064	0.988778490991011
NC_037340.1	83472345	FALSE	FALSE	0.22664658693354	1.09621367771148	1.06699211480548
NC_037341.1	82403003	FALSE	FALSE	0.961245639398284	1.02816132947885	1.0264442829496
NC_037343.1	81013979	FALSE	FALSE	0.817678704524726	1.03873400111788	1.02549339423078
NC_037344.1	73167244	FALSE	FALSE	0.576473671313773	0.976506194241765	0.976321599784975
NC_037347.1	71974595	FALSE	FALSE	0.501201905120473	0.99160752769101	0.994169084022339
NC_037348.1	69862954	FALSE	FALSE	0.608829409372564	1.00025180233707	0.987888620938863
NC_037345.1	65820629	FALSE	FALSE	0.646324138382904	0.992368255611625	0.966147120255671
NC_037346.1	63449741	FALSE	FALSE	0.83242289133185	0.962425963114738	0.937743426306047
NC_037351.1	62317253	FALSE	FALSE	0.601061952011903	1.1047122747833	1.08186467063673
NC_037349.1	60773035	FALSE	FALSE	0.866937731408538	0.997414409738885	0.989823871102234
NC_082638.1	59476289	FALSE	TRUE	4.66641044155451e-11	0.0726313341429225	0.409250962594904
NC_037350.1	52498615	FALSE	FALSE	0.769609516043384	1.01707798146196	1.00400156611206
NC_037353.1	51992305	FALSE	FALSE	0.69933185238888	0.984886469566179	0.973504082685766
NC_037356.1	51098607	FALSE	FALSE	0.345570090017039	0.972060095787515	0.952233320861572
NC_037355.1	45940150	FALSE	FALSE	0.282655447377861	1.15486560765753	1.12918761126745
NC_037354.1	45612108	FALSE	FALSE	0.574246009597718	0.994315313302537	0.992263721893717
NC_037352.1	42350435	FALSE	FALSE	0.863802153477289	0.983560490410989	0.962015443797579
NW_020192292.1	9309904	FALSE	TRUE	4.28081268471987e-06	0.571638417258151	0.345517394358994
NW_020190994.1	1596430	FALSE	FALSE	0.405867378764034	0.503870684576616	0.487925478894131
NW_020192291.1	1124660	TRUE	FALSE	2.88928053628935e-07	1.01714654794354	0.560197779836537
NW_020192294.1	986051	FALSE	TRUE	1.99725805435091e-09	1.26463890155035	0.703730247359951
NW_020192012.1	747985	FALSE	FALSE	0.383211382313584	0.399954175005553	0.364453831317945
NW_020191148.1	706024	FALSE	FALSE	0.395964786756606	0.617708484628619	0.581724150463659
NW_020191578.1	621740	FALSE	FALSE	0.424649527709693	0.408914350203413	0.387922861388517
NW_020192287.1	507144	FALSE	TRUE	3.08321097555223e-06	0.549739865909708	0.309823512007661
NW_020192254.1	439192	FALSE	FALSE	0.505001279145437	1.55458455093294	1.62285131674388
NW_020190496.1	340813	TRUE	FALSE	3.49070133037016e-07	0.806496744240577	0.394770435640524
NW_020191494.1	285805	FALSE	FALSE	0.0623278630381547	0.787646585253423	0.380482621200199
NW_020190209.1	263909	FALSE	FALSE	0.974751742743052	1.16755623937263	1.13110102773055
NW_020191298.1	254491	FALSE	FALSE	0.621431813586045	0.780317223700371	0.765668619660429
NW_020190613.1	233854	FALSE	TRUE	1.35480978085226e-05	1.54590006566325	0.910613373369898
NW_020191195.1	219947	FALSE	FALSE	0.0560145185129063	0.642367920172942	0.313722532990944
NW_020191629.1	199353	FALSE	FALSE	0.235676284737831	0.516608988798277	0.571562531828512
NW_020192125.1	185229	FALSE	FALSE	0.0783189895374869	0.651621960806369	0.37181455399717
NW_020190379.1	175396	FALSE	TRUE	0.000256704738223049	0.510010517495153	0.265653470901453
NW_020190418.1	170077	FALSE	FALSE	0.0642488015207286	0.54369315305146	0.413761961455787
NW_020190328.1	169562	FALSE	FALSE	0.00793365662118467	0.475635639637401	0.398687957966223
NW_020192051.1	167256	FALSE	FALSE	0.314441809836791	0.602823208718296	0.684900142605455
NW_020192147.1	159420	FALSE	FALSE	0.0105978236002178	0.859739966033733	0.432298527186725
NW_020191262.1	157671	FALSE	FALSE	0.0415019817880088	0.899093181905552	0.57981109298376
NW_020191050.1	156909	FALSE	FALSE	0.00310669966730509	1.80443916541549	0.892879287804472
NW_020191540.1	126311	FALSE	FALSE	0.271905375798039	0.841027108808495	0.805569482800388
NW_020192222.1	122210	FALSE	FALSE	0.165263043695977	0.769095050534292	0.519165184921845
NW_020191713.1	121935	FALSE	FALSE	0.0353960516781563	0.636724451344181	0.555554633945705
NW_020191373.1	118284	FALSE	TRUE	4.46578186052921e-07	2.24686690471635	1.15797434723387
