Scaffold	Length	X_Z	Abnormal_sex_linked	pVal	homogametic_median	heterogametic_median
NC_037328.1	158534110	FALSE	FALSE	0.299170846676394	0.998320994831415	0.998685833044854
NC_037357.1	139009144	FALSE	TRUE	8.4059864524989e-55	0.971614373852751	0.583650055691094
NC_037329.1	136231102	FALSE	FALSE	0.940050292920967	1	1
NC_037330.1	121005158	FALSE	FALSE	0.830312249760734	1.01958635301143	1.01785275274341
NC_037332.1	120089316	FALSE	TRUE	1.00772986107627e-05	1.16424909095151	1.14506600849783
NC_037331.1	120000601	FALSE	FALSE	0.539049034480881	0.997718292702157	0.996771299035831
NC_037333.1	117806340	FALSE	FALSE	0.0128826375465225	0.973494686479958	0.977672602088403
NC_037335.1	113319770	FALSE	FALSE	0.710873173627352	1.02505782847301	1.02720482648559
NC_037334.1	110682743	FALSE	FALSE	0.903584760064737	1.00960510044387	1.00866065022169
NC_037338.1	106982474	FALSE	FALSE	0.199165518534122	1.01555211288092	1.00921730355184
NC_037336.1	105454467	FALSE	FALSE	0.0165797322098651	0.980741523000182	0.983141480638737
NC_037337.1	103308737	FALSE	FALSE	0.101870061079301	1.04145498610084	1.03441380578086
NC_037339.1	87216183	FALSE	FALSE	0.497104546466318	0.968002215263924	0.967899780361366
NC_037342.1	85007780	FALSE	FALSE	0.0973557581235309	1.0086465328371	1.00443261422801
NC_037340.1	83472345	FALSE	FALSE	0.284515181087519	1.0827544637135	1.07161869008883
NC_037341.1	82403003	FALSE	FALSE	0.0446963096609447	1.03268161645617	1.03507143454273
NC_037343.1	81013979	FALSE	FALSE	0.448463658570817	1.05667822169849	1.05106110150114
NC_037344.1	73167244	FALSE	FALSE	0.91377684902749	0.999881412035367	0.995167567444998
NC_037347.1	71974595	FALSE	FALSE	0.232860885425207	0.994234115895934	0.991820886612417
NC_037348.1	69862954	FALSE	FALSE	0.220977196322301	1.01015843693724	1.00558314740081
NC_037345.1	65820629	FALSE	FALSE	0.183106968331359	1.05279855017686	1.03881796639977
NC_037346.1	63449741	FALSE	FALSE	0.316791833227002	0.998947173099065	0.984867753230408
NC_037351.1	62317253	FALSE	FALSE	0.150980461069258	1.09093113745465	1.08578206749365
NC_037349.1	60773035	FALSE	FALSE	0.126409745916056	1.0189524704282	1.00980616726249
NC_082638.1	59476289	FALSE	TRUE	5.3108234426709e-78	0.0630700780330717	0.473555008281306
NC_037350.1	52498615	FALSE	FALSE	0.282431840950803	1.03291843167394	1.02782926295322
NC_037353.1	51992305	FALSE	FALSE	0.0490071844749382	0.997462886922566	0.989308491624053
NC_037356.1	51098607	FALSE	FALSE	0.288665702393277	0.98845509548697	0.981386553872792
NC_037355.1	45940150	FALSE	TRUE	1.52758272407903e-11	1.24809587632405	1.18386318459156
NC_037354.1	45612108	FALSE	FALSE	0.0921367698076942	1.01926146580553	1.01095167667132
NC_037352.1	42350435	FALSE	FALSE	0.17720192707432	1.02573039555795	1.00869444976817
NW_020192292.1	9309904	FALSE	TRUE	1.17522320884759e-39	0.528595368280959	0.328679536595368
NW_020190994.1	1596430	FALSE	FALSE	0.221848786660097	0.554969018586675	0.486721401654667
NW_020192291.1	1124660	TRUE	FALSE	5.26981009578793e-19	1.049571987954	0.605904478066967
NW_020192294.1	986051	FALSE	TRUE	6.64768754335859e-33	1.35447426350074	0.756514868687304
NW_020192012.1	747985	FALSE	FALSE	0.601877861280681	0.566110813767407	0.532584507451741
NW_020191148.1	706024	FALSE	FALSE	0.105102869189423	0.830163070053737	0.738881058107008
NW_020191578.1	621740	FALSE	FALSE	0.0162036259482773	0.947851642499179	0.737928880920482
NW_020192287.1	507144	FALSE	TRUE	1.16986652728951e-31	0.504543744816247	0.294773321340807
NW_020192254.1	439192	FALSE	FALSE	0.99876263551019	1.83453554960764	1.78623837001279
NW_020190496.1	340813	TRUE	FALSE	2.34671690843927e-20	1.02776109521758	0.53951525373065
NW_020191494.1	285805	FALSE	TRUE	7.97049889477116e-10	1.43126472534835	0.781784287500389
NW_020190209.1	263909	FALSE	FALSE	0.349297674519382	1.50338596581855	1.46276921719275
NW_020191298.1	254491	FALSE	FALSE	0.661970058608104	1.14023559177971	1.15437557867383
NW_020190613.1	233854	FALSE	TRUE	8.03864855142087e-07	1.30865485873222	0.914291211700461
NW_020191195.1	219947	TRUE	FALSE	2.34826159523643e-10	1.17981769438183	0.64187110962637
NW_020190183.1	206749	FALSE	TRUE	1.77480441950385e-08	0.875407047624708	0.464295617614514
NW_020191629.1	199353	FALSE	FALSE	0.461090266821701	1.11042751418341	1.14495749030352
NW_020192125.1	185229	TRUE	FALSE	1.41644593000846e-13	1.01613008387772	0.572675786782138
NW_020190379.1	175396	FALSE	TRUE	5.52123568464711e-13	0.536117589186018	0.326063564251495
NW_020190418.1	170077	FALSE	FALSE	0.134447983125009	0.570666086998311	0.546394856357336
NW_020190328.1	169562	FALSE	FALSE	0.908381578637291	0.704823168835723	0.724654596817445
NW_020192051.1	167256	FALSE	FALSE	0.461058520262966	1.26160582741693	1.27487357366704
NW_020192147.1	159420	TRUE	FALSE	8.01215262912325e-23	0.943633972390125	0.512064265752978
NW_020191262.1	157671	FALSE	TRUE	8.54944904181196e-19	0.793556421760276	0.522652969535133
NW_020191050.1	156909	FALSE	TRUE	5.24214663365697e-19	1.81356423456846	0.92885446082024
NW_020191540.1	126311	FALSE	FALSE	0.426380372965046	1.00649758429833	1.01887573464053
