Scaffold	Length	X_Z	Abnormal_sex_linked	pVal	homogametic_median	heterogametic_median
NC_037328.1	158534110	FALSE	FALSE	0.478517814805629	1	1.00479785724281
NC_037357.1	139009144	FALSE	TRUE	2.25819658319198e-29	1	0.611996944935738
NC_037329.1	136231102	FALSE	FALSE	0.0634791092069772	0.994318528340295	1
NC_037330.1	121005158	FALSE	FALSE	0.0110405268422099	0.987034335979641	0.994906036722724
NC_037332.1	120089316	FALSE	FALSE	0.419928199966388	1.13146985016682	1.11274884784172
NC_037331.1	120000601	FALSE	FALSE	0.00580146068453096	0.990756913566247	0.996275510746651
NC_037333.1	117806340	FALSE	FALSE	0.25861851276482	0.984991089222402	0.989921619695113
NC_037335.1	113319770	FALSE	FALSE	0.0547197374303343	1.01509979287619	1.02251759793517
NC_037334.1	110682743	FALSE	FALSE	0.0178227607413474	0.975657309409783	0.989128166040902
NC_037338.1	106982474	FALSE	FALSE	0.0783157183271223	0.964004142441628	0.97801454679776
NC_037336.1	105454467	FALSE	FALSE	0.582874810849195	0.992736344875391	0.995615932007668
NC_037337.1	103308737	FALSE	FALSE	0.143588247877959	1.01522532545187	1.02043697715268
NC_037339.1	87216183	FALSE	FALSE	0.21185891792251	0.969165705702655	0.965579222763325
NC_037342.1	85007780	FALSE	FALSE	0.963838587008639	1.0280161124313	1.02310242291638
NC_037340.1	83472345	FALSE	FALSE	0.215835865148357	1.03639718541212	1.0482212513125
NC_037341.1	82403003	FALSE	FALSE	0.0302301778281918	1.02255540722113	1.03627598822164
NC_037343.1	81013979	FALSE	FALSE	0.258633898320158	1.00804137025231	1.0221811243814
NC_037344.1	73167244	FALSE	FALSE	0.0309233934718689	0.949874729955624	0.969645315405079
NC_037347.1	71974595	FALSE	FALSE	0.00668807956779319	0.977687417091179	0.988048142450463
NC_037348.1	69862954	FALSE	FALSE	0.0692513240953235	0.95388360468723	0.974555703222995
NC_037345.1	65820629	FALSE	FALSE	0.116828012654634	0.919444705828542	0.946590684460604
NC_037346.1	63449741	FALSE	FALSE	0.264988043239185	0.890682486517371	0.909239257062892
NC_037351.1	62317253	FALSE	FALSE	0.211761591862188	1.06213482024812	1.07687696024533
NC_037349.1	60773035	FALSE	FALSE	0.0938460968489196	0.949508608058822	0.971297620062657
NC_082638.1	59476289	FALSE	TRUE	2.57594839073473e-23	0.0653544532229251	0.536076072253638
NC_037350.1	52498615	FALSE	FALSE	0.373727431041872	0.98536371005697	0.998784506441472
NC_037353.1	51992305	FALSE	FALSE	0.106288251534144	0.946298309532221	0.962156142508332
NC_037356.1	51098607	FALSE	FALSE	0.0657446422614637	0.924669938685501	0.942304633858216
NC_037355.1	45940150	FALSE	FALSE	0.0963257267289294	1.08629964842015	1.06408047234674
NC_037354.1	45612108	FALSE	FALSE	0.0518414514248885	0.973724049398256	0.992637584563657
NC_037352.1	42350435	FALSE	FALSE	0.140938086440149	0.886655859913763	0.923136843866005
NW_020192292.1	9309904	FALSE	TRUE	2.08570946297637e-14	0.56219913740073	0.358835768082153
NW_020190994.1	1596430	FALSE	FALSE	0.716011234425054	0.413382996926286	0.41885825230908
NW_020192291.1	1124660	TRUE	FALSE	6.51122461757777e-10	1.14782964660484	0.66443572607055
NW_020192294.1	986051	FALSE	TRUE	1.4504500977062e-09	1.63978180247474	0.908264413869405
NW_020192012.1	747985	FALSE	FALSE	0.996012590815813	0.332075978279102	0.328632465259701
NW_020191148.1	706024	FALSE	FALSE	0.600955100559975	0.669433388952349	0.694222063565461
NW_020191578.1	621740	FALSE	FALSE	0.962750245400258	0.366113161015777	0.341798747563307
NW_020192287.1	507144	FALSE	TRUE	6.78127341239718e-17	0.518621290693275	0.314025507309897
NW_020192254.1	439192	FALSE	FALSE	0.140263796721224	0.432228541794455	0.381019282787123
NW_020190496.1	340813	FALSE	TRUE	4.06510709428124e-18	0.935650730608574	0.540155604125018
NW_020192288.1	330107	FALSE	TRUE	1.47816040522481e-12	0.491954935604417	0.275749651797773
NW_020190439.1	310105	FALSE	FALSE	0.116338749784652	0.512380575239163	0.458131836004615
NW_020191494.1	285805	FALSE	TRUE	1.78379145565656e-13	2.40308849207231	1.11905652406259
NW_020190209.1	263909	FALSE	FALSE	0.00633139089374485	1.11280114504843	0.944981730903216
NW_020191298.1	254491	FALSE	FALSE	0.412841722040572	1.16366065597127	0.964782951910063
NW_020190613.1	233854	FALSE	TRUE	1.92442567259626e-19	1.24457040332289	0.816136569512803
NW_020191195.1	219947	FALSE	TRUE	5.39106586311249e-11	1.88804875289477	0.860324291949968
NW_020190183.1	206749	FALSE	TRUE	5.10191601754715e-07	1.36996143418121	0.679169483371237
NW_020191629.1	199353	FALSE	FALSE	0.244378101827211	0.382483862911583	0.349070931903307
NW_020192125.1	185229	TRUE	FALSE	3.76823771752783e-10	1.11192506460676	0.605378321496164
NW_020190379.1	175396	FALSE	TRUE	8.63887894385432e-21	0.732119245544438	0.37514141736244
NW_020190418.1	170077	FALSE	FALSE	0.12461843318092	0.587743637261148	0.565484898360823
NW_020192051.1	167256	FALSE	FALSE	0.306761693298887	0.329902692096071	0.310707866298805
NW_020192147.1	159420	FALSE	TRUE	3.24065229459842e-08	1.38609924667262	0.70381819502178
NW_020191262.1	157671	FALSE	TRUE	4.89420173738144e-15	0.778975662854972	0.516853790932336
NW_020191050.1	156909	FALSE	TRUE	5.82152767893608e-06	1.44429006969424	0.803555311005287
NW_020190467.1	144580	FALSE	FALSE	0.397421343509629	0.75515425759044	0.673658377627153
NW_020191471.1	126916	FALSE	FALSE	0.207672132247205	0.33404138566588	0.281663135762664
NW_020191540.1	126311	FALSE	FALSE	0.389094294297686	0.882221237321883	0.921981753831679
NW_020192222.1	122210	FALSE	TRUE	1.32480877440864e-09	1.12519086021025	0.715456768598008
NW_020191713.1	121935	FALSE	FALSE	0.00890949135182784	0.515197930544408	0.428250286858418
NW_020190893.1	119188	FALSE	FALSE	0.0789310124590449	0.355361498493741	0.332913792219482
NW_020191373.1	118284	TRUE	FALSE	1.75737906711303e-06	0.931526962675851	0.54218200240149
