Scaffold	Length	X_Z	Abnormal_sex_linked	pVal	homogametic_median	heterogametic_median
NC_037328.1	158534110	FALSE	FALSE	0.834031665487204	0.997632748449169	0.997479106873555
NC_037357.1	139009144	TRUE	FALSE	1.32601000345322e-08	1.06163823172595	0.634252875886791
NC_037329.1	136231102	FALSE	FALSE	0.0320778383644028	0.994534574682988	1
NC_037330.1	121005158	FALSE	FALSE	0.0521852394482366	0.996126447472771	1.00796124728341
NC_037332.1	120089316	FALSE	FALSE	0.34751778091504	1.07080779133089	1.05517822517235
NC_037331.1	120000601	FALSE	FALSE	0.00228950567004461	0.995302490479194	1.00071513216605
NC_037333.1	117806340	FALSE	FALSE	0.488493071755871	0.978756026149211	0.98178576418723
NC_037335.1	113319770	FALSE	FALSE	0.00998497307439858	1.01436153089273	1.0372365511161
NC_037334.1	110682743	FALSE	FALSE	0.0345348860001482	0.990938573182959	1.00560134066497
NC_037338.1	106982474	FALSE	FALSE	0.0948959861937868	0.986882349623349	0.997449495774328
NC_037336.1	105454467	FALSE	FALSE	0.210568222147238	0.987756801410337	0.988399682558768
NC_037337.1	103308737	FALSE	FALSE	0.042279941683805	1.01285358695982	1.02377558531961
NC_037339.1	87216183	FALSE	FALSE	0.0501905440491907	0.968528122613016	0.972134748178019
NC_037342.1	85007780	FALSE	FALSE	0.166364995389298	0.972428429693161	0.983145601961748
NC_037340.1	83472345	FALSE	FALSE	0.19919105782338	1.00385211695739	1.01727799452531
NC_037341.1	82403003	FALSE	FALSE	0.0509678814396685	1.00734596784983	1.02018073883506
NC_037343.1	81013979	FALSE	FALSE	0.498099210547216	1.03908011495931	1.03722265883761
NC_037344.1	73167244	FALSE	FALSE	0.0174845651344626	0.974645472249875	0.995113453327466
NC_037347.1	71974595	FALSE	FALSE	0.00768580089035238	0.977363888611606	0.988405563467705
NC_037348.1	69862954	FALSE	FALSE	0.128579306015414	0.979560075378889	0.993451069728794
NC_037345.1	65820629	FALSE	FALSE	0.188504365580333	0.998392105599399	1.02159950461267
NC_037346.1	63449741	FALSE	FALSE	0.189856266280427	0.94839661159673	0.960818131550221
NC_037351.1	62317253	FALSE	FALSE	0.168926895201253	1.03752066822619	1.04983348005518
NC_037349.1	60773035	FALSE	FALSE	0.158799509745079	0.990828985424264	0.999420728953471
NC_082638.1	59476289	FALSE	TRUE	6.6393328109568e-41	0.0629444304535754	0.611231145745502
NC_037350.1	52498615	FALSE	FALSE	0.255707368323881	1.00138654147627	1.0079488158567
NC_037353.1	51992305	FALSE	FALSE	0.142905644890598	0.973620872297472	0.983152119658605
NC_037356.1	51098607	FALSE	FALSE	0.217595444036623	0.958169433520854	0.972720680945431
NC_037355.1	45940150	FALSE	FALSE	0.297595155958928	1.10436173368579	1.08035042421357
NC_037354.1	45612108	FALSE	FALSE	0.103421146001224	1.00587245154156	1.01686522317749
NC_037352.1	42350435	FALSE	FALSE	0.193186795265721	0.970122190753424	0.987306704975306
NW_020192292.1	9309904	FALSE	TRUE	2.93152008837282e-09	0.605302640040576	0.365218236778073
NW_020190994.1	1596430	FALSE	FALSE	0.965801036213744	0.759094622265545	0.695831110939237
NW_020192291.1	1124660	FALSE	TRUE	1.18467079496722e-07	1.22360512842521	0.711308977089536
NW_020192294.1	986051	FALSE	TRUE	1.17884239620675e-08	1.31857862781784	0.74358544446274
NW_020192012.1	747985	FALSE	FALSE	0.82304275370362	0.626329419455804	0.581267890489898
NW_020191148.1	706024	FALSE	FALSE	0.957864259472666	1.03929196170836	1.11449067700444
NW_020191578.1	621740	FALSE	FALSE	0.87950270383477	1.19556333915755	0.968582010582747
NW_020192287.1	507144	FALSE	TRUE	1.11097319369579e-07	0.541502403418984	0.303904105318943
NW_020192290.1	439290	FALSE	TRUE	0.000698117562155912	0.483374533052941	0.332678821967359
NW_020192254.1	439192	FALSE	FALSE	0.0361823640258904	1.33024539405563	1.49020900731355
NW_020190496.1	340813	FALSE	TRUE	3.90019282999727e-05	0.900364724713804	0.491253078023193
NW_020191494.1	285805	TRUE	FALSE	2.2706990310718e-06	1.10733505551054	0.598623963146713
NW_020190209.1	263909	FALSE	FALSE	0.650442801113405	1.11656682541063	1.14115716047099
NW_020191298.1	254491	FALSE	FALSE	0.985204373039699	0.957703825462608	1.01635741196712
NW_020190613.1	233854	FALSE	TRUE	5.83952730400999e-06	1.46502481461142	0.967337943303771
NW_020191195.1	219947	TRUE	FALSE	7.97173658291737e-06	0.919103256853387	0.497395426144988
NW_020191223.1	207169	FALSE	FALSE	0.446007743316377	1.10889697153077	1.10984262476082
NW_020190183.1	206749	FALSE	TRUE	3.84068599281066e-05	0.65960889829418	0.37175488780791
NW_020191629.1	199353	FALSE	FALSE	0.019250799108299	0.675652781179754	0.809083639170827
NW_020192125.1	185229	FALSE	TRUE	9.86079048200189e-05	0.888700273345488	0.523676723275296
NW_020190379.1	175396	FALSE	TRUE	3.3136430177198e-07	0.563390765533284	0.308077639995559
NW_020190328.1	169562	FALSE	FALSE	0.639087534251422	0.483150678686807	0.457937931785948
NW_020192051.1	167256	FALSE	FALSE	0.0308159774488422	0.769272884262752	0.870124913063593
NW_020192147.1	159420	TRUE	FALSE	5.12330134035802e-10	1.11210810319001	0.600199385511136
NW_020191262.1	157671	FALSE	TRUE	4.99760060806478e-07	0.765745976783448	0.498346463682645
NW_020191050.1	156909	FALSE	TRUE	0.000258904126426899	1.57049271902766	0.855073785440403
NW_020191540.1	126311	FALSE	FALSE	0.401846686628881	0.863763741401661	0.902759356829583
NW_020192222.1	122210	FALSE	TRUE	7.89759070151609e-05	1.04555427339576	0.658067307004801
NW_020191713.1	121935	FALSE	FALSE	0.830513636534168	0.603166516785127	0.563940824755637
