#Subpopulation order/codes: Tory=0	Tstr=1
#chm	spos	epos	sgpos	egpos	n snps	TstrBot_0757.0	TstrBot_0757.1
NC_037352.1	3817	31806	0.00	0.04	147	1	1
NC_037352.1	31806	100956	0.04	0.13	460	1	0
NC_037352.1	100956	1584592	0.13	2.06	20415	1	1
NC_037352.1	1584592	1599284	2.06	2.08	200	1	0
NC_037352.1	1599284	2925943	2.08	3.80	16110	1	1
NC_037352.1	2925943	2936896	3.80	3.82	165	0	1
NC_037352.1	2936896	4533643	3.82	5.89	18500	1	1
NC_037352.1	4533643	4544861	5.89	5.91	185	0	1
NC_037352.1	4544861	4818208	5.91	6.26	3700	1	1
NC_037352.1	4818208	4829164	6.26	6.28	185	1	0
NC_037352.1	4829164	5448669	6.28	7.08	7580	1	1
NC_037352.1	5448669	5469353	7.08	7.11	210	0	1
NC_037352.1	5469353	5821368	7.11	7.57	4300	1	1
NC_037352.1	5821368	5844426	7.57	7.60	255	0	1
NC_037352.1	5844426	6997392	7.60	9.10	13295	1	1
NC_037352.1	6997392	7008921	9.10	9.11	190	0	1
NC_037352.1	7008921	8097813	9.11	10.53	14130	1	1
NC_037352.1	8097813	8120396	10.53	10.56	395	0	1
NC_037352.1	8120396	8745948	10.56	11.37	8055	1	1
NC_037352.1	8745948	8768173	11.37	11.40	385	1	0
NC_037352.1	8768173	8882437	11.40	11.55	1700	1	1
NC_037352.1	8882437	8888537	11.55	11.56	95	1	0
NC_037352.1	8888537	9931086	11.56	12.91	12250	1	1
NC_037352.1	9931086	9935720	12.91	12.92	85	0	1
NC_037352.1	9935720	10286013	12.92	13.37	4635	1	1
NC_037352.1	10286013	10297901	13.37	13.39	145	0	1
NC_037352.1	10297901	12472575	13.39	16.21	27275	1	1
NC_037352.1	12472575	12494905	16.21	16.24	225	1	0
NC_037352.1	12494905	12644239	16.24	16.44	1815	1	1
NC_037352.1	12644239	12660890	16.44	16.46	175	0	1
NC_037352.1	12660890	12688643	16.46	16.50	230	1	1
NC_037352.1	12688643	12727614	16.50	16.55	495	1	0
NC_037352.1	12727614	13558733	16.55	17.63	8245	1	1
NC_037352.1	13558733	13579329	17.63	17.65	260	1	0
NC_037352.1	13579329	14551167	17.65	18.92	11915	1	1
NC_037352.1	14551167	14561607	18.92	18.93	145	1	0
NC_037352.1	14561607	14890496	18.93	19.36	4770	1	1
NC_037352.1	14890496	14895882	19.36	19.36	80	0	1
NC_037352.1	14895882	15185902	19.36	19.74	3570	1	1
